2019 Federal Election House of Representatives First Preferences By Candidate By Polling Place for ACT [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:45 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,318,Bean,93925,Belconnen BEAN PPVC,33426,FAULKNER,Therese,1,N,N,AUP,Australian Progressives,22,3.12
ACT,318,Bean,93925,Belconnen BEAN PPVC,32130,CHRISTIE,Jamie,2,N,N,IND,Independent,43,6.09
ACT,318,Bean,93925,Belconnen BEAN PPVC,33391,RUSHTON,Ben,3,N,N,GAP,The Great Australian Party,12,1.7
ACT,318,Bean,93925,Belconnen BEAN PPVC,32921,DONNELLY,Matt,4,N,N,LDP,Liberal Democrats,23,3.26
ACT,318,Bean,93925,Belconnen BEAN PPVC,32261,HANLEY,Tony,5,N,N,UAPP,United Australia Party,18,2.55
ACT,318,Bean,93925,Belconnen BEAN PPVC,33397,COCKS,Ed,6,N,N,LP,Liberal,217,-4.47
ACT,318,Bean,93925,Belconnen BEAN PPVC,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,265,-5.8
ACT,318,Bean,93925,Belconnen BEAN PPVC,32405,DAVIS,Johnathan,8,N,N,GRN,The Greens,106,-0.81
ACT,318,Bean,93925,Belconnen BEAN PPVC,999,Informal,Informal,999,N,N,,Informal,43,3.73
ACT,318,Bean,93927,BLV Bean PPVC,33426,FAULKNER,Therese,1,N,N,AUP,Australian Progressives,1,7.69
ACT,318,Bean,93927,BLV Bean PPVC,32130,CHRISTIE,Jamie,2,N,N,IND,Independent,1,7.69
ACT,318,Bean,93927,BLV Bean PPVC,33391,RUSHTON,Ben,3,N,N,GAP,The Great Australian Party,0,0
ACT,318,Bean,93927,BLV Bean PPVC,32921,DONNELLY,Matt,4,N,N,LDP,Liberal Democrats,1,7.69
ACT,318,Bean,93927,BLV Bean PPVC,32261,HANLEY,Tony,5,N,N,UAPP,United Australia Party,0,0
ACT,318,Bean,93927,BLV Bean PPVC,33397,COCKS,Ed,6,N,N,LP,Liberal,1,-34.73
ACT,318,Bean,93927,BLV Bean PPVC,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,6,9.79
ACT,318,Bean,93927,BLV Bean PPVC,32405,DAVIS,Johnathan,8,N,N,GRN,The Greens,3,7.93
ACT,318,Bean,93927,BLV Bean PPVC,999,Informal,Informal,999,N,N,,Informal,0,-2.94
ACT,318,Bean,11877,Bonython,33426,FAULKNER,Therese,1,N,N,AUP,Australian Progressives,42,3.16
ACT,318,Bean,11877,Bonython,32130,CHRISTIE,Jamie,2,N,N,IND,Independent,99,7.44
ACT,318,Bean,11877,Bonython,33391,RUSHTON,Ben,3,N,N,GAP,The Great Australian Party,13,0.98
ACT,318,Bean,11877,Bonython,32921,DONNELLY,Matt,4,N,N,LDP,Liberal Democrats,31,2.33
ACT,318,Bean,11877,Bonython,32261,HANLEY,Tony,5,N,N,UAPP,United Australia Party,25,1.88
ACT,318,Bean,11877,Bonython,33397,COCKS,Ed,6,N,N,LP,Liberal,368,-6.26
ACT,318,Bean,11877,Bonython,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,575,-7.58
ACT,318,Bean,11877,Bonython,32405,DAVIS,Johnathan,8,N,N,GRN,The Greens,177,1.55
ACT,318,Bean,11877,Bonython,999,Informal,Informal,999,N,N,,Informal,94,3.82
ACT,318,Bean,11452,Calwell,33426,FAULKNER,Therese,1,N,N,AUP,Australian Progressives,49,2.6
ACT,318,Bean,11452,Calwell,32130,CHRISTIE,Jamie,2,N,N,IND,Independent,191,10.13
ACT,318,Bean,11452,Calwell,33391,RUSHTON,Ben,3,N,N,GAP,The Great Australian Party,15,0.8
ACT,318,Bean,11452,Calwell,32921,DONNELLY,Matt,4,N,N,LDP,Liberal Democrats,35,1.86
ACT,318,Bean,11452,Calwell,32261,HANLEY,Tony,5,N,N,UAPP,United Australia Party,52,2.76
ACT,318,Bean,11452,Calwell,33397,COCKS,Ed,6,N,N,LP,Liberal,555,-6.6
ACT,318,Bean,11452,Calwell,32253,SMITH,David,7,Y,N,ALP,Australian Labor Party,748,-8.07
ACT,318,Bean,11452,Calwell,32405,DAVIS,Johnathan,8,N,N,GRN,The Greens,241,1.43
ACT,318,Bean,11452,Calwell,999,Informal,Informal,999,N,N,,Informal,108,1.44
ACT,318,Bean,8761,Chapman,33426,FAULKNER,Therese,1,N,N,AUP,Australian Progressives,64,2.9
ACT,318,Bean,8761,Chapman,32130,CHRISTIE,Jamie,2,N,N,IND,Independent,240,10.86
ACT,318,Bean,8761,Chapman,33391,RUSHTON,Ben,3,N,N,GAP,The Great Australian Party,20,0.91
