2019 Federal Election House of Representatives First Preferences By Candidate By Polling Place for QLD [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:46 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
QLD,304,Blair,65494,BLV Blair PPVC,33402,KARANDREWS,Simone,1,N,N,IND,Independent,0,0
QLD,304,Blair,65494,BLV Blair PPVC,33363,FITZPATRICK,Peter John,2,N,N,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,0,0
QLD,304,Blair,65494,BLV Blair PPVC,32769,NEUMANN,Shayne Kenneth,3,Y,Y,ALP,Australian Labor Party,7,-7.82
QLD,304,Blair,65494,BLV Blair PPVC,32501,BELL,Sharon,4,N,N,ON,Pauline Hanson's One Nation,1,-1.83
QLD,304,Blair,65494,BLV Blair PPVC,33161,SHEARMAN,Robert,5,N,N,LNP,Liberal National Party of Queensland,4,11.5
QLD,304,Blair,65494,BLV Blair PPVC,32903,ZIMPEL,Majella,6,N,N,UAPP,United Australia Party,0,0
QLD,304,Blair,65494,BLV Blair PPVC,33367,QUINN,John,7,N,N,DLP,Labour DLP,1,7.69
QLD,304,Blair,65494,BLV Blair PPVC,33264,DUNCAN,Michelle,8,N,N,GRN,The Greens,0,-8.81
QLD,304,Blair,65494,BLV Blair PPVC,29420,TURNER,John,9,N,N,IND,Independent,0,-0.25
QLD,304,Blair,65494,BLV Blair PPVC,999,Informal,Informal,999,N,N,,Informal,1,6.5
QLD,304,Blair,6347,Brassall,33402,KARANDREWS,Simone,1,N,N,IND,Independent,64,3.51
QLD,304,Blair,6347,Brassall,33363,FITZPATRICK,Peter John,2,N,N,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,32,1.76
QLD,304,Blair,6347,Brassall,32769,NEUMANN,Shayne Kenneth,3,Y,Y,ALP,Australian Labor Party,653,-10.83
QLD,304,Blair,6347,Brassall,32501,BELL,Sharon,4,N,N,ON,Pauline Hanson's One Nation,285,3
QLD,304,Blair,6347,Brassall,33161,SHEARMAN,Robert,5,N,N,LNP,Liberal National Party of Queensland,523,-1.4
QLD,304,Blair,6347,Brassall,32903,ZIMPEL,Majella,6,N,N,UAPP,United Australia Party,54,2.96
QLD,304,Blair,6347,Brassall,33367,QUINN,John,7,N,N,DLP,Labour DLP,46,2.52
QLD,304,Blair,6347,Brassall,33264,DUNCAN,Michelle,8,N,N,GRN,The Greens,110,1.25
QLD,304,Blair,6347,Brassall,29420,TURNER,John,9,N,N,IND,Independent,55,1.71
QLD,304,Blair,6347,Brassall,999,Informal,Informal,999,N,N,,Informal,157,2.77
QLD,304,Blair,6348,Brassall North,33402,KARANDREWS,Simone,1,N,N,IND,Independent,66,2.92
QLD,304,Blair,6348,Brassall North,33363,FITZPATRICK,Peter John,2,N,N,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,65,2.88
QLD,304,Blair,6348,Brassall North,32769,NEUMANN,Shayne Kenneth,3,Y,Y,ALP,Australian Labor Party,753,-12.39
QLD,304,Blair,6348,Brassall North,32501,BELL,Sharon,4,N,N,ON,Pauline Hanson's One Nation,416,1.48
QLD,304,Blair,6348,Brassall North,33161,SHEARMAN,Robert,5,N,N,LNP,Liberal National Party of Queensland,503,-0.09
QLD,304,Blair,6348,Brassall North,32903,ZIMPEL,Majella,6,N,N,UAPP,United Australia Party,67,2.97
QLD,304,Blair,6348,Brassall North,33367,QUINN,John,7,N,N,DLP,Labour DLP,59,2.61
QLD,304,Blair,6348,Brassall North,33264,DUNCAN,Michelle,8,N,N,GRN,The Greens,272,4.28
QLD,304,Blair,6348,Brassall North,29420,TURNER,John,9,N,N,IND,Independent,56,0.81
QLD,304,Blair,6348,Brassall North,999,Informal,Informal,999,N,N,,Informal,318,5.29
QLD,304,Blair,6349,Bundamba,33402,KARANDREWS,Simone,1,N,N,IND,Independent,52,4.31
QLD,304,Blair,6349,Bundamba,33363,FITZPATRICK,Peter John,2,N,N,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,14,1.16
QLD,304,Blair,6349,Bundamba,32769,NEUMANN,Shayne Kenneth,3,Y,Y,ALP,Australian Labor Party,447,-11.51
QLD,304,Blair,6349,Bundamba,32501,BELL,Sharon,4,N,N,ON,Pauline Hanson's One Nation,208,4
QLD,304,Blair,6349,Bundamba,33161,SHEARMAN,Robert,5,N,N,LNP,Liberal National Party of Queensland,249,-3.51
QLD,304,Blair,6349,Bundamba,32903,ZIMPEL,Majella,6,N,N,UAPP,United Australia Party,43,3.57
QLD,304,Blair,6349,Bundamba,33367,QUINN,John,7,N,N,DLP,Labour DLP,48,3.98
QLD,304,Blair,6349,Bundamba,33264,DUNCAN,Michelle,8,N,N,GRN,The Greens,119,2.51
