2019 Federal Election House of Representatives First Preferences By Candidate By Polling Place for SA [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:46 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
SA,179,Adelaide,6648,Adelaide (Adelaide),33037,JAMES,Chris,1,N,N,AUD,Australian Democrats,8,1.49
SA,179,Adelaide,6648,Adelaide (Adelaide),33010,POCOCK,Barbara,2,N,N,GRN,The Greens,139,6.78
SA,179,Adelaide,6648,Adelaide (Adelaide),33019,GEORGANAS,Steve,3,Y,Y,ALP,Australian Labor Party,197,0.44
SA,179,Adelaide,6648,Adelaide (Adelaide),33271,KANGAS,Deanna,4,N,N,AJP,Animal Justice Party,17,2.1
SA,179,Adelaide,6648,Adelaide (Adelaide),33027,OSBORN,Shaun,5,N,N,LP,Liberal,156,1.68
SA,179,Adelaide,6648,Adelaide (Adelaide),33030,REA,Antonio,6,N,N,UAPP,United Australia Party,20,3.72
SA,179,Adelaide,6648,Adelaide (Adelaide),999,Informal,Informal,999,N,N,,Informal,17,0.31
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,33037,JAMES,Chris,1,N,N,AUD,Australian Democrats,70,1.61
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,33010,POCOCK,Barbara,2,N,N,GRN,The Greens,899,6.56
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,33019,GEORGANAS,Steve,3,Y,Y,ALP,Australian Labor Party,1569,2.85
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,33271,KANGAS,Deanna,4,N,N,AJP,Animal Justice Party,102,0.79
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,33027,OSBORN,Shaun,5,N,N,LP,Liberal,1610,0.99
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,33030,REA,Antonio,6,N,N,UAPP,United Australia Party,100,2.3
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,999,Informal,Informal,999,N,N,,Informal,80,-1.32
SA,179,Adelaide,6649,Adelaide East,33037,JAMES,Chris,1,N,N,AUD,Australian Democrats,21,1.78
SA,179,Adelaide,6649,Adelaide East,33010,POCOCK,Barbara,2,N,N,GRN,The Greens,244,3.38
SA,179,Adelaide,6649,Adelaide East,33019,GEORGANAS,Steve,3,Y,Y,ALP,Australian Labor Party,417,-0.11
SA,179,Adelaide,6649,Adelaide East,33271,KANGAS,Deanna,4,N,N,AJP,Animal Justice Party,39,2.09
SA,179,Adelaide,6649,Adelaide East,33027,OSBORN,Shaun,5,N,N,LP,Liberal,446,2.48
SA,179,Adelaide,6649,Adelaide East,33030,REA,Antonio,6,N,N,UAPP,United Australia Party,10,0.85
SA,179,Adelaide,6649,Adelaide East,999,Informal,Informal,999,N,N,,Informal,22,-0.12
SA,179,Adelaide,6651,Adelaide South,33037,JAMES,Chris,1,N,N,AUD,Australian Democrats,37,1.74
SA,179,Adelaide,6651,Adelaide South,33010,POCOCK,Barbara,2,N,N,GRN,The Greens,587,7.49
SA,179,Adelaide,6651,Adelaide South,33019,GEORGANAS,Steve,3,Y,Y,ALP,Australian Labor Party,700,-1.91
SA,179,Adelaide,6651,Adelaide South,33271,KANGAS,Deanna,4,N,N,AJP,Animal Justice Party,53,0.5
SA,179,Adelaide,6651,Adelaide South,33027,OSBORN,Shaun,5,N,N,LP,Liberal,688,1.94
SA,179,Adelaide,6651,Adelaide South,33030,REA,Antonio,6,N,N,UAPP,United Australia Party,64,3.01
SA,179,Adelaide,6651,Adelaide South,999,Informal,Informal,999,N,N,,Informal,53,0.15
SA,179,Adelaide,83454,Adelaide West,33037,JAMES,Chris,1,N,N,AUD,Australian Democrats,11,1.54
SA,179,Adelaide,83454,Adelaide West,33010,POCOCK,Barbara,2,N,N,GRN,The Greens,197,7.99
SA,179,Adelaide,83454,Adelaide West,33019,GEORGANAS,Steve,3,Y,Y,ALP,Australian Labor Party,297,6.18
SA,179,Adelaide,83454,Adelaide West,33271,KANGAS,Deanna,4,N,N,AJP,Animal Justice Party,9,-0.29
SA,179,Adelaide,83454,Adelaide West,33027,OSBORN,Shaun,5,N,N,LP,Liberal,189,-3.68
SA,179,Adelaide,83454,Adelaide West,33030,REA,Antonio,6,N,N,UAPP,United Australia Party,11,1.54
SA,179,Adelaide,83454,Adelaide West,999,Informal,Informal,999,N,N,,Informal,22,0.66
SA,179,Adelaide,7048,Allenby Gardens (Adelaide),33037,JAMES,Chris,1,N,N,AUD,Australian Democrats,37,2.05
SA,179,Adelaide,7048,Allenby Gardens (Adelaide),33010,POCOCK,Barbara,2,N,N,GRN,The Greens,277,5.34
SA,179,Adelaide,7048,Allenby Gardens (Adelaide),33019,GEORGANAS,Steve,3,Y,Y,ALP,Australian Labor Party,828,3.71
SA,179,Adelaide,7048,Allenby Gardens (Adelaide),33271,KANGAS,Deanna,4,N,N,AJP,Animal Justice Party,56,1.6
SA,179,Adelaide,7048,Allenby Gardens (Adelaide),33027,OSBORN,Shaun,5,N,N,LP,Liberal,554,8.17
SA,179,Adelaide,7048,Allenby Gardens (Adelaide),33030,REA,Antonio,6,N,N,UAPP,United Australia Party,55,3.04
SA,179,Adelaide,7048,Allenby Gardens (Adelaide),999,Informal,Informal,999,N,N,,Informal,99,-0.69
SA,179,Adelaide,7008,Black Forest (Adelaide),33037,JAMES,Chris,1,N,N,AUD,Australian Democrats,10,1.48
SA,179,Adelaide,7008,Black Forest (Adelaide),33010,POCOCK,Barbara,2,N,N,GRN,The Greens,133,6.61
SA,179,Adelaide,7008,Black Forest (Adelaide),33019,GEORGANAS,Steve,3,Y,Y,ALP,Australian Labor Party,284,2.83
SA,179,Adelaide,7008,Black Forest (Adelaide),33271,KANGAS,Deanna,4,N,N,AJP,Animal Justice Party,17,1.87
SA,179,Adelaide,7008,Black Forest (Adelaide),33027,OSBORN,Shaun,5,N,N,LP,Liberal,216,0.71
SA,179,Adelaide,7008,Black Forest (Adelaide),33030,REA,Antonio,6,N,N,UAPP,United Australia Party,17,2.51
SA,179,Adelaide,7008,Black Forest (Adelaide),999,Informal,Informal,999,N,N,,Informal,21,0.29
SA,179,Adelaide,6654,Blair Athol,33037,JAMES,Chris,1,N,N,AUD,Australian Democrats,35,2.38
SA,179,Adelaide,6654,Blair Athol,33010,POCOCK,Barbara,2,N,N,GRN,The Greens,170,5.84
SA,179,Adelaide,6654,Blair Athol,33019,GEORGANAS,Steve,3,Y,Y,ALP,Australian Labor Party,794,-5.18
SA,179,Adelaide,6654,Blair Athol,33271,KANGAS,Deanna,4,N,N,AJP,Animal Justice Party,45,1.21
SA,179,Adelaide,6654,Blair Athol,33027,OSBORN,Shaun,5,N,N,LP,Liberal,368,8.61
SA,179,Adelaide,6654,Blair Athol,33030,REA,Antonio,6,N,N,UAPP,United Australia Party,60,4.08
SA,179,Adelaide,6654,Blair Athol,999,Informal,Informal,999,N,N,,Informal,76,-1.02
SA,179,Adelaide,65592,BLV Adelaide PPVC,33037,JAMES,Chris,1,N,N,AUD,Australian Democrats,1,3.85
SA,179,Adelaide,65592,BLV Adelaide PPVC,33010,POCOCK,Barbara,2,N,N,GRN,The Greens,0,0
SA,179,Adelaide,65592,BLV Adelaide PPVC,33019,GEORGANAS,Steve,3,Y,Y,ALP,Australian Labor Party,11,-7.02
SA,179,Adelaide,65592,BLV Adelaide PPVC,33271,KANGAS,Deanna,4,N,N,AJP,Animal Justice Party,0,-6.67
SA,179,Adelaide,65592,BLV Adelaide PPVC,33027,OSBORN,Shaun,5,N,N,LP,Liberal,12,19.48
SA,179,Adelaide,65592,BLV Adelaide PPVC,33030,REA,Antonio,6,N,N,UAPP,United Australia Party,2,7.69
SA,179,Adelaide,65592,BLV Adelaide PPVC,999,Informal,Informal,999,N,N,,Informal,0,0
SA,179,Adelaide,6655,Broadview,33037,JAMES,Chris,1,N,N,AUD,Australian Democrats,40,1.74
SA,179,Adelaide,6655,Broadview,33010,POCOCK,Barbara,2,N,N,GRN,The Greens,284,4.98
SA,179,Adelaide,6655,Broadview,33019,GEORGANAS,Steve,3,Y,Y,ALP,Australian Labor Party,860,1.36
