2019 Federal Election House of Representatives First Preferences By Candidate By Polling Place for TAS [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:45 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
TAS,192,Bass,8553,Beaconsfield,32540,HALL,Tom,1,N,N,GRN,The Greens,74,-1.59
TAS,192,Bass,8553,Beaconsfield,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,364,-4.31
TAS,192,Bass,8553,Beaconsfield,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,36,3.63
TAS,192,Bass,8553,Beaconsfield,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,340,-1.07
TAS,192,Bass,8553,Beaconsfield,33590,LAMBERT,Todd,5,N,N,IND,Independent,61,6.16
TAS,192,Bass,8553,Beaconsfield,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,86,8.68
TAS,192,Bass,8553,Beaconsfield,32399,COOPER,Carl,7,N,N,NP,The Nationals,30,3.03
TAS,192,Bass,8553,Beaconsfield,999,Informal,Informal,999,N,N,,Informal,73,1.84
TAS,192,Bass,8608,Beauty Point,32540,HALL,Tom,1,N,N,GRN,The Greens,28,-2
TAS,192,Bass,8608,Beauty Point,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,186,-8.04
TAS,192,Bass,8608,Beauty Point,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,10,1.81
TAS,192,Bass,8608,Beauty Point,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,256,3.76
TAS,192,Bass,8608,Beauty Point,33590,LAMBERT,Todd,5,N,N,IND,Independent,24,4.33
TAS,192,Bass,8608,Beauty Point,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,30,5.42
TAS,192,Bass,8608,Beauty Point,32399,COOPER,Carl,7,N,N,NP,The Nationals,20,3.61
TAS,192,Bass,8608,Beauty Point,999,Informal,Informal,999,N,N,,Informal,42,2.87
TAS,192,Bass,65496,BLV Bass PPVC,32540,HALL,Tom,1,N,N,GRN,The Greens,0,-3.45
TAS,192,Bass,65496,BLV Bass PPVC,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,3,-15.02
TAS,192,Bass,65496,BLV Bass PPVC,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,1,16.67
TAS,192,Bass,65496,BLV Bass PPVC,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,2,5.25
TAS,192,Bass,65496,BLV Bass PPVC,33590,LAMBERT,Todd,5,N,N,IND,Independent,0,0
TAS,192,Bass,65496,BLV Bass PPVC,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,0,0
TAS,192,Bass,65496,BLV Bass PPVC,32399,COOPER,Carl,7,N,N,NP,The Nationals,0,0
TAS,192,Bass,65496,BLV Bass PPVC,999,Informal,Informal,999,N,N,,Informal,0,-3.33
TAS,192,Bass,8290,Branxholm,32540,HALL,Tom,1,N,N,GRN,The Greens,15,-5.84
TAS,192,Bass,8290,Branxholm,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,69,2.91
TAS,192,Bass,8290,Branxholm,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,6,3.09
TAS,192,Bass,8290,Branxholm,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,81,-0.46
TAS,192,Bass,8290,Branxholm,33590,LAMBERT,Todd,5,N,N,IND,Independent,13,6.7
TAS,192,Bass,8290,Branxholm,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,9,4.64
TAS,192,Bass,8290,Branxholm,32399,COOPER,Carl,7,N,N,NP,The Nationals,1,0.52
TAS,192,Bass,8290,Branxholm,999,Informal,Informal,999,N,N,,Informal,13,2.88
TAS,192,Bass,8291,Bridport,32540,HALL,Tom,1,N,N,GRN,The Greens,38,-3.4
TAS,192,Bass,8291,Bridport,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,234,-3.09
TAS,192,Bass,8291,Bridport,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,18,1.77
TAS,192,Bass,8291,Bridport,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,632,8.12
TAS,192,Bass,8291,Bridport,33590,LAMBERT,Todd,5,N,N,IND,Independent,38,3.74
TAS,192,Bass,8291,Bridport,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,44,4.33
TAS,192,Bass,8291,Bridport,32399,COOPER,Carl,7,N,N,NP,The Nationals,12,1.18
TAS,192,Bass,8291,Bridport,999,Informal,Informal,999,N,N,,Informal,44,1.76
TAS,192,Bass,8295,Derby,32540,HALL,Tom,1,N,N,GRN,The Greens,24,3.55
TAS,192,Bass,8295,Derby,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,49,0.85
TAS,192,Bass,8295,Derby,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,3,2.31
TAS,192,Bass,8295,Derby,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,40,-2.56
TAS,192,Bass,8295,Derby,33590,LAMBERT,Todd,5,N,N,IND,Independent,7,5.38
TAS,192,Bass,8295,Derby,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,6,4.62
TAS,192,Bass,8295,Derby,32399,COOPER,Carl,7,N,N,NP,The Nationals,1,0.77
TAS,192,Bass,8295,Derby,999,Informal,Informal,999,N,N,,Informal,4,-2.8
TAS,192,Bass,8296,Dilston,32540,HALL,Tom,1,N,N,GRN,The Greens,66,-2.71
TAS,192,Bass,8296,Dilston,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,171,-4.98
TAS,192,Bass,8296,Dilston,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,24,3.86
TAS,192,Bass,8296,Dilston,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,299,4.88
TAS,192,Bass,8296,Dilston,33590,LAMBERT,Todd,5,N,N,IND,Independent,17,2.73
TAS,192,Bass,8296,Dilston,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,34,5.47
TAS,192,Bass,8296,Dilston,32399,COOPER,Carl,7,N,N,NP,The Nationals,11,1.77
TAS,192,Bass,8296,Dilston,999,Informal,Informal,999,N,N,,Informal,18,-2.28
TAS,192,Bass,30183,Divisional Office (PREPOLL),32540,HALL,Tom,1,N,N,GRN,The Greens,167,1.96
TAS,192,Bass,30183,Divisional Office (PREPOLL),32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,479,-5.58
TAS,192,Bass,30183,Divisional Office (PREPOLL),32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,27,1.91
TAS,192,Bass,30183,Divisional Office (PREPOLL),32124,ARCHER,Bridget,4,Y,N,LP,Liberal,640,1.29
TAS,192,Bass,30183,Divisional Office (PREPOLL),33590,LAMBERT,Todd,5,N,N,IND,Independent,38,2.69
TAS,192,Bass,30183,Divisional Office (PREPOLL),32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,50,3.53
TAS,192,Bass,30183,Divisional Office (PREPOLL),32399,COOPER,Carl,7,N,N,NP,The Nationals,14,0.99
TAS,192,Bass,30183,Divisional Office (PREPOLL),999,Informal,Informal,999,N,N,,Informal,37,0.69
TAS,192,Bass,8313,East Launceston,32540,HALL,Tom,1,N,N,GRN,The Greens,290,-0.09
TAS,192,Bass,8313,East Launceston,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,481,0.29
TAS,192,Bass,8313,East Launceston,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,26,1.71
TAS,192,Bass,8313,East Launceston,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,638,-2.69
TAS,192,Bass,8313,East Launceston,33590,LAMBERT,Todd,5,N,N,IND,Independent,28,1.84
TAS,192,Bass,8313,East Launceston,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,40,2.63
TAS,192,Bass,8313,East Launceston,32399,COOPER,Carl,7,N,N,NP,The Nationals,17,1.12
TAS,192,Bass,8313,East Launceston,999,Informal,Informal,999,N,N,,Informal,32,-0.15
TAS,192,Bass,8592,Exeter,32540,HALL,Tom,1,N,N,GRN,The Greens,127,-1.16
TAS,192,Bass,8592,Exeter,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,345,-3.47
TAS,192,Bass,8592,Exeter,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,25,2.05
TAS,192,Bass,8592,Exeter,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,572,-0.71
TAS,192,Bass,8592,Exeter,33590,LAMBERT,Todd,5,N,N,IND,Independent,52,4.26
TAS,192,Bass,8592,Exeter,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,68,5.57
TAS,192,Bass,8592,Exeter,32399,COOPER,Carl,7,N,N,NP,The Nationals,32,2.62
TAS,192,Bass,8592,Exeter,999,Informal,Informal,999,N,N,,Informal,55,-0.51
TAS,192,Bass,8314,Five Ways,32540,HALL,Tom,1,N,N,GRN,The Greens,132,5.45
TAS,192,Bass,8314,Five Ways,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,302,-8.2
TAS,192,Bass,8314,Five Ways,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,25,3.19
TAS,192,Bass,8314,Five Ways,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,270,0.86
TAS,192,Bass,8314,Five Ways,33590,LAMBERT,Todd,5,N,N,IND,Independent,23,2.93
TAS,192,Bass,8314,Five Ways,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,28,3.57
TAS,192,Bass,8314,Five Ways,32399,COOPER,Carl,7,N,N,NP,The Nationals,4,0.51
TAS,192,Bass,8314,Five Ways,999,Informal,Informal,999,N,N,,Informal,31,-0.65
TAS,192,Bass,8301,George Town,32540,HALL,Tom,1,N,N,GRN,The Greens,78,-2.78
