2019 Federal Election House of Representatives First Preferences By Candidate By Polling Place for WA [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:46 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
WA,235,Brand,7472,Baldivis,32431,VANDER VEN,Janine Joy,1,N,N,AUC,Australian Christians,73,-2.9
WA,235,Brand,7472,Baldivis,33394,KING,Madeleine,2,Y,Y,ALP,Australian Labor Party,854,-5.96
WA,235,Brand,7472,Baldivis,33398,PLEITER,Jack,3,N,N,LP,Liberal,908,-0.01
WA,235,Brand,7472,Baldivis,32479,MILLS,Karen-Lee,4,N,N,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,27,1.14
WA,235,Brand,7472,Baldivis,32156,FREEMAN,Jody,5,N,N,GRN,The Greens (WA),265,2.19
WA,235,Brand,7472,Baldivis,32529,JONES,Trevor,6,N,N,UAPP,United Australia Party,43,1.81
WA,235,Brand,7472,Baldivis,33390,PHELAN,Blake,7,N,N,WAP,WESTERN AUSTRALIA PARTY,32,1.35
WA,235,Brand,7472,Baldivis,33474,CARTER,Travis,8,N,N,ON,Pauline Hanson's One Nation,169,7.13
WA,235,Brand,7472,Baldivis,999,Informal,Informal,999,N,N,,Informal,130,0.87
WA,235,Brand,64591,Baldivis Central,32431,VANDER VEN,Janine Joy,1,N,N,AUC,Australian Christians,64,-0.64
WA,235,Brand,64591,Baldivis Central,33394,KING,Madeleine,2,Y,Y,ALP,Australian Labor Party,761,-9.19
WA,235,Brand,64591,Baldivis Central,33398,PLEITER,Jack,3,N,N,LP,Liberal,728,-0.72
WA,235,Brand,64591,Baldivis Central,32479,MILLS,Karen-Lee,4,N,N,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,36,1.72
WA,235,Brand,64591,Baldivis Central,32156,FREEMAN,Jody,5,N,N,GRN,The Greens (WA),252,1.63
WA,235,Brand,64591,Baldivis Central,32529,JONES,Trevor,6,N,N,UAPP,United Australia Party,54,2.59
WA,235,Brand,64591,Baldivis Central,33390,PHELAN,Blake,7,N,N,WAP,WESTERN AUSTRALIA PARTY,58,2.78
WA,235,Brand,64591,Baldivis Central,33474,CARTER,Travis,8,N,N,ON,Pauline Hanson's One Nation,135,6.47
WA,235,Brand,64591,Baldivis Central,999,Informal,Informal,999,N,N,,Informal,139,2.54
WA,235,Brand,83045,Baldivis East,32431,VANDER VEN,Janine Joy,1,N,N,AUC,Australian Christians,41,-0.36
WA,235,Brand,83045,Baldivis East,33394,KING,Madeleine,2,Y,Y,ALP,Australian Labor Party,407,-6.38
WA,235,Brand,83045,Baldivis East,33398,PLEITER,Jack,3,N,N,LP,Liberal,331,-3.9
WA,235,Brand,83045,Baldivis East,32479,MILLS,Karen-Lee,4,N,N,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,19,1.79
WA,235,Brand,83045,Baldivis East,32156,FREEMAN,Jody,5,N,N,GRN,The Greens (WA),134,1.5
WA,235,Brand,83045,Baldivis East,32529,JONES,Trevor,6,N,N,UAPP,United Australia Party,24,2.26
WA,235,Brand,83045,Baldivis East,33390,PHELAN,Blake,7,N,N,WAP,WESTERN AUSTRALIA PARTY,25,2.35
WA,235,Brand,83045,Baldivis East,33474,CARTER,Travis,8,N,N,ON,Pauline Hanson's One Nation,83,7.8
WA,235,Brand,83045,Baldivis East,999,Informal,Informal,999,N,N,,Informal,77,2.56
WA,235,Brand,65679,Baldivis North,32431,VANDER VEN,Janine Joy,1,N,N,AUC,Australian Christians,94,-0.14
WA,235,Brand,65679,Baldivis North,33394,KING,Madeleine,2,Y,Y,ALP,Australian Labor Party,915,-8.07
WA,235,Brand,65679,Baldivis North,33398,PLEITER,Jack,3,N,N,LP,Liberal,736,-2.48
