2019 Federal Election House of Representatives Two Party Preferred By Division By Vote Type [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:28 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition OrdinaryVotes,Liberal/National Coalition OrdinaryPercentage,Australian Labor Party OrdinaryVotes,Australian Labor Party OrdinaryPercentage,Liberal/National Coalition AbsentVotes,Liberal/National Coalition AbsentPercentage,Australian Labor Party AbsentVotes,Australian Labor Party AbsentPercentage,Liberal/National Coalition ProvisionalVotes,Liberal/National Coalition ProvisionalPercentage,Australian Labor Party ProvisionalVotes,Australian Labor Party ProvisionalPercentage,Liberal/National Coalition PostalVotes,Liberal/National Coalition PostalPercentage,Australian Labor Party PostalVotes,Australian Labor Party PostalPercentage,TotalVotes,Liberal/National Coalition DeclarationPrePollVotes,Liberal/National Coalition DeclarationPrePollPercentage,Australian Labor Party DeclarationPrePollVotes,Australian Labor Party DeclarationPrePollPercentage
Adelaide,179,SA,ALP,33652,40.92,48594,59.08,2837,39.88,4277,60.12,258,35.29,473,64.71,5695,48.36,6081,51.64,107181,2377,44.73,2937,55.27
Aston,197,VIC,LP,50358,60.11,33424,39.89,1851,50.59,1808,49.41,100,59.52,68,40.48,5711,65.53,3004,34.47,100090,2160,57.36,1606,42.64
Ballarat,198,VIC,ALP,33758,39.03,52724,60.97,1131,35.95,2015,64.05,78,33.62,154,66.38,3846,40.13,5738,59.87,102683,1255,38.75,1984,61.25
Banks,103,NSW,LP,43503,56.39,33641,43.61,1873,49.77,1890,50.23,129,53.53,112,46.47,4074,62.84,2409,37.16,91730,2030,49.52,2069,50.48
Barker,180,SA,LP,62502,68.78,28364,31.22,1908,61.85,1177,38.15,158,62.7,94,37.3,6253,74.13,2182,25.87,105666,2030,67.04,998,32.96
Barton,104,NSW,ALP,30820,40.6,45091,59.4,1996,36.83,3424,63.17,143,39.94,215,60.06,2072,45.15,2517,54.85,89907,1458,40.18,2171,59.82
Bass,192,TAS,LP,30169,50.44,29637,49.56,852,51.39,806,48.61,109,48.23,117,51.77,2822,50.19,2801,49.81,68733,696,49.01,724,50.99
Bean,318,ACT,ALP,35531,42.32,48436,57.68,664,39.29,1026,60.71,99,38.52,158,61.48,1864,47.79,2036,52.21,92939,1326,42.43,1799,57.57
Bendigo,200,VIC,ALP,35452,40.84,51361,59.16,916,35.29,1680,64.71,88,38.94,138,61.06,3514,43.83,4503,56.17,101661,1675,41.78,2334,58.22
Bennelong,105,NSW,LP,45107,56.18,35178,43.82,1761,51.55,1655,48.45,142,53.58,123,46.42,5765,66.36,2923,33.64,96305,2034,55.71,1617,44.29
Berowra,106,NSW,LP,50874,65.41,26901,34.59,2625,60.71,1699,39.29,109,62.64,65,37.36,5618,72.79,2100,27.21,93947,2449,61.91,1507,38.09
Blair,304,QLD,ALP,37829,48.35,40414,51.65,1666,47.01,1878,52.99,158,41.15,226,58.85,5117,51.94,4735,48.06,95925,2032,52.08,1870,47.92
Blaxland,107,NSW,ALP,23299,34.03,45165,65.97,1563,38.71,2475,61.29,115,28.54,288,71.46,2046,45.25,2476,54.75,80808,1486,43.95,1895,56.05
Bonner,310,QLD,LNP,41659,56.3,32333,43.7,2116,53.33,1852,46.67,115,44.75,142,55.25,8805,65.22,4696,34.78,94187,1377,55.77,1092,44.23
Boothby,182,SA,LP,45183,50.59,44127,49.41,2374,46.42,2740,53.58,209,38.99,327,61.01,7549,59.46,5147,40.54,110577,1497,51.25,1424,48.75
Bowman,155,QLD,LNP,49327,59.92,32997,40.08,1395,56,1096,44,114,56.72,87,43.28,6508,63.51,3739,36.49,98339,1893,61.54,1183,38.46
Braddon,193,TAS,LP,33323,53.26,29242,46.74,544,47.35,605,52.65,63,50.81,61,49.19,2449,53.25,2150,46.75,69973,772,50.26,764,49.74
Bradfield,108,NSW,LP,53237,66.46,26863,33.54,2243,57.9,1631,42.1,131,67.18,64,32.82,5927,74.08,2074,25.92,96143,2459,61.89,1514,38.11
Brand,235,WA,ALP,31016,42.6,41790,57.4,1639,41.05,2354,58.95,129,35.34,236,64.66,3763,49.14,3894,50.86,88841,1961,48.78,2059,51.22
Brisbane,156,QLD,LNP,41149,54.1,34905,45.9,3081,49.82,3103,50.18,243,53.88,208,46.12,7946,62.4,4788,37.6,101957,3576,54.73,2958,45.27
Bruce,201,VIC,ALP,25785,35.12,47644,64.88,1495,36.58,2592,63.42,146,30.54,332,69.46,4434,39.28,6855,60.72,93040,1491,39.69,2266,60.31
Burt,317,WA,ALP,31417,44.4,39335,55.6,1885,42.2,2582,57.8,213,36.54,370,63.46,4319,51.5,4068,48.5,88040,1792,46.53,2059,53.47
Calare,109,NSW,NP,60565,63.52,34787,36.48,1425,55.34,1150,44.66,111,54.95,91,45.05,2321,67.2,1133,32.8,104288,1584,58.56,1121,41.44
Calwell,203,VIC,ALP,21541,30.41,49299,69.59,1012,29.36,2435,70.64,99,26.54,274,73.46,3091,35.25,5678,64.75,87452,1545,38.4,2478,61.6
Canberra,101,ACT,ALP,24319,32.65,50158,67.35,536,36.29,941,63.71,76,25.33,224,74.67,1999,39.28,3090,60.72,86403,1512,29.88,3548,70.12
Canning,236,WA,LP,45525,61.33,28702,38.67,2727,57.28,2034,42.72,168,54.55,140,45.45,4837,66.38,2450,33.62,90892,2690,62.43,1619,37.57
Capricornia,157,QLD,LNP,46608,61.5,29174,38.5,1631,64.21,909,35.79,117,56.52,90,43.48,5564,69.22,2474,30.78,88967,1555,64.79,845,35.21
Casey,204,VIC,LP,43066,54.09,36559,45.91,2087,48.93,2178,51.07,152,52.96,135,47.04,7454,61.31,4703,38.69,99828,1792,51.29,1702,48.71
Chifley,111,NSW,ALP,28385,36.57,49227,63.43,1971,44.14,2494,55.86,132,32.43,275,67.57,2035,44.92,2495,55.08,91006,1722,43.14,2270,56.86
Chisholm,205,VIC,LP,36441,49.93,36543,50.07,2110,46.04,2473,53.96,91,44.39,114,55.61,7092,56.33,5499,43.67,94920,2271,49.84,2286,50.16
Clark,319,TAS,ALP,18750,33.07,37954,66.93,789,32.01,1676,67.99,63,23.25,208,76.75,2353,41.53,3313,58.47,67461,864,36.69,1491,63.31
Cook,112,NSW,LP,55552,69.32,24589,30.68,2439,59.36,1670,40.64,219,65.18,117,34.82,4731,74.45,1624,25.55,94023,1953,63.37,1129,36.63
Cooper,320,VIC,ALP,17481,22.52,60132,77.48,1140,22.28,3976,77.72,66,21.85,236,78.15,3206,31.9,6844,68.1,97481,1186,26.95,3214,73.05
Corangamite,207,VIC,ALP,39474,48.23,42369,51.77,2096,42.57,2828,57.43,79,42.02,109,57.98,6380,56.96,4821,43.04,101620,1696,48.96,1768,51.04
Corio,208,VIC,ALP,32278,39.2,50068,60.8,1507,39.77,2282,60.23,86,31.73,185,68.27,4003,43.54,5191,56.46,98752,1306,41.43,1846,58.57
