2019 Federal Election House of Representatives Turnout By Division [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:44 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
DivisionID,DivisionNm,StateAb,Enrolment,Turnout,TurnoutPercentage,TurnoutSwing
179,Adelaide,SA,121606,111299,91.52,1.73
197,Aston,VIC,110342,103919,94.18,-0.69
198,Ballarat,VIC,114954,107372,93.4,1.03
103,Banks,NSW,106253,98845,93.03,1.04
180,Barker,SA,118371,111893,94.53,0.5
104,Barton,NSW,108992,99380,91.18,1.34
192,Bass,TAS,76532,71973,94.04,0.19
318,Bean,ACT,104482,97982,93.78,0.09
200,Bendigo,VIC,112755,105979,93.99,0.51
105,Bennelong,NSW,108815,101542,93.32,1.61
106,Berowra,NSW,106331,100370,94.39,1.18
304,Blair,QLD,113520,103690,91.34,0.17
107,Blaxland,NSW,105383,93209,88.45,1.2
310,Bonner,QLD,104599,97027,92.76,0.82
182,Boothby,SA,123949,116030,93.61,1.14
155,Bowman,QLD,109425,101804,93.04,0.38
193,Braddon,TAS,79194,75303,95.09,1.44
108,Bradfield,NSW,107304,100199,93.38,1.5
235,Brand,WA,106998,94769,88.57,1.53
156,Brisbane,QLD,115557,104588,90.51,0.67
201,Bruce,VIC,109195,98561,90.26,-0.85
317,Burt,WA,105236,94082,89.4,0.67
109,Calare,NSW,118099,110539,93.6,-0.04
203,Calwell,VIC,107507,96336,89.61,4.25
101,Canberra,ACT,95348,88307,92.62,1.17
236,Canning,WA,107207,96782,90.28,1.06
157,Capricornia,QLD,102585,94975,92.58,-0.47
204,Casey,VIC,113307,106720,94.19,0.54
111,Chifley,NSW,111980,100734,89.96,0.08
205,Chisholm,VIC,106323,99383,93.47,-0.96
319,Clark,TAS,73846,69150,93.64,0.45
112,Cook,NSW,106957,100164,93.65,1.29
320,Cooper,VIC,110836,102467,92.45,2.94
207,Corangamite,VIC,111601,105816,94.82,3.83
208,Corio,VIC,110304,102400,92.83,0.7
237,Cowan,WA,98665,89703,90.92,1.32
113,Cowper,NSW,124340,114426,92.03,-0.2
114,Cunningham,NSW,115231,106757,92.65,1.14
238,Curtin,WA,100422,91989,91.6,1.85
158,Dawson,QLD,105248,95550,90.79,-0.9
209,Deakin,VIC,107493,101424,94.35,-0.64
252,Dickson,QLD,108211,101364,93.67,-0.18
115,Dobell,NSW,117206,107892,92.05,0.11
210,Dunkley,VIC,110636,102078,92.26,1.1
312,Durack,WA,97104,81613,84.05,2.02
117,Eden-Monaro,NSW,114147,106505,93.31,-0.24
159,Fadden,QLD,114061,102231,89.63,1.59
160,Fairfax,QLD,114123,104355,91.44,0.62
118,Farrer,NSW,115525,107017,92.64,0.01
102,Fenner,ACT,96017,89302,93.01,1.81
161,Fisher,QLD,113134,104040,91.96,0.86
211,Flinders,VIC,110703,103076,93.11,2.28
311,Flynn,QLD,103061,94974,92.15,-1.16
162,Forde,QLD,107261,95983,89.49,0.31
239,Forrest,WA,105452,95880,90.92,1.2
119,Fowler,NSW,106941,96288,90.04,0.31
195,Franklin,TAS,76619,72545,94.68,0.8
321,Fraser,VIC,109408,98605,90.13,1.25
240,Fremantle,WA,105465,96302,91.31,2.5
212,Gellibrand,VIC,111194,102113,91.83,2.77
120,Gilmore,NSW,122364,113647,92.88,0.01
213,Gippsland,VIC,110538,101998,92.27,-0.58
214,Goldstein,VIC,108514,101580,93.61,2.19
309,Gorton,VIC,110416,100598,91.11,4.1
121,Grayndler,NSW,109567,100072,91.33,2.05
122,Greenway,NSW,110299,102432,92.87,0.55
183,Grey,SA,119949,111131,92.65,0
163,Griffith,QLD,111937,101919,91.05,0.87
164,Groom,QLD,105978,98608,93.05,-0.06
305,Hasluck,WA,98624,89099,90.34,1.52
165,Herbert,QLD,108453,97676,90.06,-0.83
215,Higgins,VIC,111013,102541,92.37,1.49
185,Hindmarsh,SA,122645,113879,92.85,1.55
166,Hinkler,QLD,107742,99877,92.7,0.5
216,Holt,VIC,106812,98756,92.46,4.39
217,Hotham,VIC,107833,99648,92.41,-0.89
124,Hughes,NSW,106204,100699,94.82,0.88
125,Hume,NSW,116405,109522,94.09,0.52
126,Hunter,NSW,121436,112075,92.29,-0.04
218,Indi,VIC,112775,105557,93.6,0.13
219,Isaacs,VIC,108297,101017,93.28,1.03
220,Jagajaga,VIC,107553,100936,93.85,0.43
167,Kennedy,QLD,107679,95944,89.1,-0.46
127,Kingsford Smith,NSW,111098,100181,90.17,0.93
186,Kingston,SA,118735,110628,93.17,1.31
221,Kooyong,VIC,108413,102062,94.14,0.48
223,La Trobe,VIC,110721,103305,93.3,5.19
222,Lalor,VIC,106783,97815,91.6,4.05
168,Leichhardt,QLD,109458,95945,87.65,-0.14
