2022 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:07 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,318,Bean,93925,Belconnen BEAN PPVC,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,561,2.92
ACT,318,Bean,93925,Belconnen BEAN PPVC,37198,HIATT,Jane,6,N,N,LP,Liberal,342,-2.92
ACT,318,Bean,11877,Bonython,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,798,0.38
ACT,318,Bean,11877,Bonython,37198,HIATT,Jane,6,N,N,LP,Liberal,479,-0.38
ACT,318,Bean,11452,Calwell,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,1065,3.48
ACT,318,Bean,11452,Calwell,37198,HIATT,Jane,6,N,N,LP,Liberal,670,-3.48
ACT,318,Bean,8761,Chapman,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,1440,2.31
ACT,318,Bean,8761,Chapman,37198,HIATT,Jane,6,N,N,LP,Liberal,745,-2.31
ACT,318,Bean,8763,Chisholm,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,732,2.59
ACT,318,Bean,8763,Chisholm,37198,HIATT,Jane,6,N,N,LP,Liberal,510,-2.59
ACT,318,Bean,93916,City (Bean),36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,43,-2.39
ACT,318,Bean,93916,City (Bean),37198,HIATT,Jane,6,N,N,LP,Liberal,19,2.39
ACT,318,Bean,93922,City BEAN PPVC,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,1158,5.18
ACT,318,Bean,93922,City BEAN PPVC,37198,HIATT,Jane,6,N,N,LP,Liberal,537,-5.18
ACT,318,Bean,31298,Conder,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,1242,7.12
ACT,318,Bean,31298,Conder,37198,HIATT,Jane,6,N,N,LP,Liberal,751,-7.12
ACT,318,Bean,83835,Conder North,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,606,2.42
ACT,318,Bean,83835,Conder North,37198,HIATT,Jane,6,N,N,LP,Liberal,469,-2.42
ACT,318,Bean,82523,Coombs,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,1677,2.84
ACT,318,Bean,82523,Coombs,37198,HIATT,Jane,6,N,N,LP,Liberal,821,-2.84
ACT,318,Bean,93906,Curtin (Bean),36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,94,3.59
ACT,318,Bean,93906,Curtin (Bean),37198,HIATT,Jane,6,N,N,LP,Liberal,48,-3.59
ACT,318,Bean,8767,Duffy,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,1301,0.24
ACT,318,Bean,8767,Duffy,37198,HIATT,Jane,6,N,N,LP,Liberal,519,-0.24
ACT,318,Bean,93927,EAV Bean PPVC,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,8,-27.48
ACT,318,Bean,93927,EAV Bean PPVC,37198,HIATT,Jane,6,N,N,LP,Liberal,6,27.48
ACT,318,Bean,108523,EAV COVID19 Bean PPVC,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,340,66.93
ACT,318,Bean,108523,EAV COVID19 Bean PPVC,37198,HIATT,Jane,6,N,N,LP,Liberal,168,33.07
ACT,318,Bean,8768,Fadden,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,964,7.74
ACT,318,Bean,8768,Fadden,37198,HIATT,Jane,6,N,N,LP,Liberal,577,-7.74
ACT,318,Bean,8769,Farrer,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,1208,4.48
ACT,318,Bean,8769,Farrer,37198,HIATT,Jane,6,N,N,LP,Liberal,700,-4.48
ACT,318,Bean,93913,Garran (Bean),36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,340,9.9
ACT,318,Bean,93913,Garran (Bean),37198,HIATT,Jane,6,N,N,LP,Liberal,150,-9.9
ACT,318,Bean,8771,Gilmore,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,861,2.21
ACT,318,Bean,8771,Gilmore,37198,HIATT,Jane,6,N,N,LP,Liberal,632,-2.21
ACT,318,Bean,12072,Gordon,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,1436,2.59
ACT,318,Bean,12072,Gordon,37198,HIATT,Jane,6,N,N,LP,Liberal,962,-2.59
ACT,318,Bean,83837,Gordon North,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,283,2.5
ACT,318,Bean,83837,Gordon North,37198,HIATT,Jane,6,N,N,LP,Liberal,274,-2.5
ACT,318,Bean,8772,Gowrie,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,894,5.04
ACT,318,Bean,8772,Gowrie,37198,HIATT,Jane,6,N,N,LP,Liberal,549,-5.04
ACT,318,Bean,97445,Greenway,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,855,5.79
ACT,318,Bean,97445,Greenway,37198,HIATT,Jane,6,N,N,LP,Liberal,512,-5.79
ACT,318,Bean,93929,Gungahlin BEAN PPVC,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,249,10.6
ACT,318,Bean,93929,Gungahlin BEAN PPVC,37198,HIATT,Jane,6,N,N,LP,Liberal,173,-10.6
ACT,318,Bean,8773,Holder,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,1031,3.87
ACT,318,Bean,8773,Holder,37198,HIATT,Jane,6,N,N,LP,Liberal,594,-3.87
ACT,318,Bean,93908,Hughes (Bean),36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,156,8.74
ACT,318,Bean,93908,Hughes (Bean),37198,HIATT,Jane,6,N,N,LP,Liberal,82,-8.74
ACT,318,Bean,8884,Isabella Plains,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,994,3.45
ACT,318,Bean,8884,Isabella Plains,37198,HIATT,Jane,6,N,N,LP,Liberal,629,-3.45
ACT,318,Bean,8776,Kambah North,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,1015,1.49
ACT,318,Bean,8776,Kambah North,37198,HIATT,Jane,6,N,N,LP,Liberal,587,-1.49
ACT,318,Bean,8777,Kambah South,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,1126,5.23
ACT,318,Bean,8777,Kambah South,37198,HIATT,Jane,6,N,N,LP,Liberal,471,-5.23
ACT,318,Bean,8778,Kambah West,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,1154,2.97
ACT,318,Bean,8778,Kambah West,37198,HIATT,Jane,6,N,N,LP,Liberal,674,-2.97
ACT,318,Bean,93909,Lyons (Bean),36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,402,5.88
ACT,318,Bean,93909,Lyons (Bean),37198,HIATT,Jane,6,N,N,LP,Liberal,157,-5.88
ACT,318,Bean,8780,Mawson,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,1249,9.33
ACT,318,Bean,8780,Mawson,37198,HIATT,Jane,6,N,N,LP,Liberal,524,-9.33
ACT,318,Bean,8781,Monash,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,985,3.97
ACT,318,Bean,8781,Monash,37198,HIATT,Jane,6,N,N,LP,Liberal,651,-3.97
ACT,318,Bean,65739,Norfolk Island,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,156,11.19
ACT,318,Bean,65739,Norfolk Island,37198,HIATT,Jane,6,N,N,LP,Liberal,110,-11.19
ACT,318,Bean,66153,Norfolk Island PPVC,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,216,6.28
ACT,318,Bean,66153,Norfolk Island PPVC,37198,HIATT,Jane,6,N,N,LP,Liberal,225,-6.28
ACT,318,Bean,93928,Parkes (Bean),36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,334,0.6
ACT,318,Bean,93928,Parkes (Bean),37198,HIATT,Jane,6,N,N,LP,Liberal,102,-0.6
ACT,318,Bean,97479,Parkes BEAN PPVC,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,1210,7.56
ACT,318,Bean,97479,Parkes BEAN PPVC,37198,HIATT,Jane,6,N,N,LP,Liberal,503,-7.56
ACT,318,Bean,8784,Pearce,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,872,4.56
ACT,318,Bean,8784,Pearce,37198,HIATT,Jane,6,N,N,LP,Liberal,443,-4.56
ACT,318,Bean,98056,Queanbeyan BEAN PPVC,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,163,-4.6
ACT,318,Bean,98056,Queanbeyan BEAN PPVC,37198,HIATT,Jane,6,N,N,LP,Liberal,145,4.6
