2022 Federal Election House of Representatives Two Candidate Preferred By Candidate By Vote Type [Event:27966 Phase:FinalResults Generated:2022-07-19T10:29:59 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,318,Bean,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,53845,1067,154,1554,5315,61935,5.43
ACT,318,Bean,37198,HIATT,Jane,6,N,N,LP,Liberal,31489,598,96,1051,3225,36459,-5.43
ACT,101,Canberra,36241,HOLLO,Tim,5,N,N,GRN,The Greens,29081,661,123,1547,3489,34901,37.8
ACT,101,Canberra,36228,PAYNE,Alicia,6,Y,Y,ALP,Australian Labor Party,47414,1012,204,2311,6480,57421,62.2
ACT,102,Fenner,36234,LEIGH,Andrew,1,Y,Y,ALP,Australian Labor Party,52109,1055,202,1484,5116,59966,5.13
ACT,102,Fenner,37203,KUSTER,Nathan,2,N,N,LP,Liberal,26801,525,87,880,3022,31315,-5.13
NSW,103,Banks,37018,COLEMAN,David,1,Y,Y,LP,Liberal,40062,1237,177,1473,6020,48969,-3.06
NSW,103,Banks,36774,SOON,Zhi,7,N,N,ALP,Labor,35216,1255,142,1412,5051,43076,3.06
NSW,104,Barton,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,49671,2647,251,1816,5669,60054,6.13
NSW,104,Barton,37017,GOODY,John,4,N,N,LP,Liberal,25957,1298,108,912,3294,31569,-6.13
NSW,105,Bennelong,37019,KENNEDY,Simon,4,N,N,LP,Liberal,38358,1133,108,1165,8083,48847,-7.89
NSW,105,Bennelong,36827,LAXALE,Jerome,7,Y,N,ALP,Labor,40601,1282,135,1352,7431,50801,7.89
NSW,106,Berowra,37028,LEESER,Julian,4,Y,Y,LP,Liberal,44532,1470,92,1439,8238,55771,-5.88
NSW,106,Berowra,36830,KOSCHINSKI,Benson,6,N,N,ALP,Labor,30823,1134,74,930,4574,37535,5.88
NSW,107,Blaxland,37038,GUNEY,Oz,2,N,N,LP,Liberal,22938,1192,133,896,3479,28638,-0.22
NSW,107,Blaxland,36823,CLARE,Jason,4,Y,Y,ALP,Labor,43655,1831,284,1389,5880,53039,0.22
NSW,108,Bradfield,36047,BOELE,Nicolette,1,N,N,IND,Independent,36309,1166,82,976,5724,44257,45.77
NSW,108,Bradfield,37016,FLETCHER,Paul,6,Y,Y,LP,Liberal,40993,1238,105,1235,8876,52447,54.23
NSW,109,Calare,35951,HOOK,Kate,1,N,N,IND,Independent,38395,916,104,1278,2579,43272,40.32
NSW,109,Calare,36348,GEE,Andrew,5,Y,Y,NP,The Nationals,56932,1170,124,1633,4188,64047,59.68
NSW,111,Chifley,37045,SINGH,Jugandeep,6,N,N,LP,Liberal,28756,1198,146,1789,3618,35507,-1.1
NSW,111,Chifley,36788,HUSIC,Ed,7,Y,Y,ALP,Labor,51465,1654,268,2122,6173,61682,1.1
NSW,112,Cook,37025,MORRISON,Scott,3,Y,Y,LP,Liberal,51679,1405,163,1360,6473,61080,-6.58
NSW,112,Cook,36784,EARLE,Simon,5,N,N,ALP,Labor,30531,1354,114,1079,3659,36737,6.58
NSW,113,Cowper,36342,CONAGHAN,Pat,3,Y,Y,NP,The Nationals,50486,959,76,2045,4638,58204,52.32
NSW,113,Cowper,36245,HEISE,Caz,4,N,N,IND,Independent,45710,1106,101,1934,4181,53032,47.68
NSW,114,Cunningham,37020,UREN,Marcus,1,N,N,LP,Liberal,30441,828,73,1034,3512,35888,-1.29
NSW,114,Cunningham,36778,BYRNES,Alison,3,Y,N,ALP,Labor,56920,1663,179,1800,5221,65783,1.29
NSW,115,Dobell,37015,FENELEY,Michael,3,N,N,LP,Liberal,36515,1159,136,1145,5271,44226,-5.02
NSW,115,Dobell,36779,McBRIDE,Emma,7,Y,Y,ALP,Labor,48137,1714,228,1386,6026,57491,5.02
NSW,117,Eden-Monaro,36803,McBAIN,Kristy,3,Y,Y,ALP,Labor,49208,729,107,2051,6988,59083,7.35
NSW,117,Eden-Monaro,37193,NOCKLES,Jerry,6,N,N,LP,Liberal,34691,465,63,1538,5677,42434,-7.35
NSW,118,Farrer,37032,LEY,Sussan,2,Y,Y,LP,Liberal,55637,522,108,3174,7298,66739,-3.48
NSW,118,Farrer,36789,CAMERON,Darren Michael,8,N,N,ALP,Labor,28272,359,57,1984,3171,33843,3.48
NSW,119,Fowler,36907,KENEALLY,Kristina,1,N,N,ALP,Labor,33997,1683,185,1392,4298,41555,48.37
NSW,119,Fowler,36240,LE,Dai,4,Y,N,IND,Independent,37759,1050,165,996,4378,44348,51.63
