2022 Federal Election House of Representatives Two Party Preferred By Division By Vote Type [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:14 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition OrdinaryVotes,Liberal/National Coalition OrdinaryPercentage,Australian Labor Party OrdinaryVotes,Australian Labor Party OrdinaryPercentage,Liberal/National Coalition AbsentVotes,Liberal/National Coalition AbsentPercentage,Australian Labor Party AbsentVotes,Australian Labor Party AbsentPercentage,Liberal/National Coalition ProvisionalVotes,Liberal/National Coalition ProvisionalPercentage,Australian Labor Party ProvisionalVotes,Australian Labor Party ProvisionalPercentage,Liberal/National Coalition PostalVotes,Liberal/National Coalition PostalPercentage,Australian Labor Party PostalVotes,Australian Labor Party PostalPercentage,TotalVotes,Liberal/National Coalition DeclarationPrePollVotes,Liberal/National Coalition DeclarationPrePollPercentage,Australian Labor Party DeclarationPrePollVotes,Australian Labor Party DeclarationPrePollPercentage
Adelaide,179,SA,ALP,31414,37.27,52878,62.73,2349,38.33,3780,61.67,217,32.34,454,67.66,7825,41.91,10846,58.09,112764,1143,38.09,1858,61.91
Aston,197,VIC,LP,39570,52.53,35765,47.47,1340,47.38,1488,52.62,96,48.24,103,51.76,9153,55.32,7392,44.68,98160,1681,51.68,1572,48.32
Ballarat,198,VIC,ALP,28414,36.98,48412,63.02,865,38.21,1399,61.79,88,37.77,145,62.23,4952,36.1,8764,63.9,96500,1411,40.77,2050,59.23
Banks,103,NSW,LP,40062,53.22,35216,46.78,1237,49.64,1255,50.36,177,55.49,142,44.51,6020,54.38,5051,45.62,92045,1473,51.06,1412,48.94
Barker,180,SA,LP,58206,66.52,29295,33.48,1508,59.75,1016,40.25,156,64.73,85,35.27,8981,68.91,4052,31.09,105799,1632,65.28,868,34.72
Barton,104,NSW,ALP,25957,34.32,49671,65.68,1298,32.9,2647,67.1,108,30.08,251,69.92,3294,36.75,5669,63.25,91623,912,33.43,1816,66.57
Bass,192,TAS,LP,27756,50.85,26827,49.15,685,50.78,664,49.22,106,53.81,91,46.19,6074,54.96,4977,45.04,68609,667,46.68,762,53.32
Bean,318,ACT,ALP,31489,36.9,53845,63.1,598,35.92,1067,64.08,96,38.4,154,61.6,3225,37.76,5315,62.24,98394,1051,40.35,1554,59.65
Bendigo,200,VIC,ALP,30760,37.66,50921,62.34,675,35.25,1240,64.75,73,31.33,160,68.67,5050,39.52,7727,60.48,99779,1253,39.49,1920,60.51
Bennelong,105,NSW,ALP,38358,48.58,40601,51.42,1133,46.92,1282,53.08,108,44.44,135,55.56,8083,52.1,7431,47.9,99648,1165,46.29,1352,53.71
Berowra,106,NSW,LP,44532,59.1,30823,40.9,1470,56.45,1134,43.55,92,55.42,74,44.58,8238,64.3,4574,35.7,93306,1439,60.74,930,39.26
Blair,304,QLD,ALP,34066,44.24,42938,55.76,1325,41.02,1905,58.98,142,37.27,239,62.73,9260,47.57,10208,52.43,104247,1879,45.12,2285,54.88
Blaxland,107,NSW,ALP,22938,34.45,43655,65.55,1192,39.43,1831,60.57,133,31.89,284,68.11,3479,37.17,5880,62.83,81677,896,39.21,1389,60.79
Bonner,310,QLD,LNP,36474,52.32,33243,47.68,1535,47.22,1716,52.78,109,48.23,117,51.77,12204,58.49,8660,41.51,96374,1149,49.61,1167,50.39
Boothby,182,SA,ALP,39324,45.81,46513,54.19,1870,42.64,2516,57.36,161,35.78,289,64.22,10370,51.99,9577,48.01,113707,1403,45.45,1684,54.55
Bowman,155,QLD,LNP,43148,55.07,35205,44.93,1012,48.58,1071,51.42,84,53.16,74,46.84,10568,58.31,7556,41.69,101692,1635,54.98,1339,45.02
Braddon,193,TAS,LP,34897,57.97,25297,42.03,522,53.65,451,46.35,60,45.8,71,54.2,4691,60.06,3119,39.94,70598,798,53.56,692,46.44
