2022 Federal Election House of Representatives Two Party Preferred By Polling Place [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:08 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
ACT,318,Bean,93925,Belconnen BEAN PPVC,342,37.87,561,62.13,903,-2.92
ACT,318,Bean,11877,Bonython,479,37.51,798,62.49,1277,-0.38
ACT,318,Bean,11452,Calwell,670,38.62,1065,61.38,1735,-3.48
ACT,318,Bean,8761,Chapman,745,34.1,1440,65.9,2185,-2.31
ACT,318,Bean,8763,Chisholm,510,41.06,732,58.94,1242,-2.59
ACT,318,Bean,93916,City (Bean),19,30.65,43,69.35,62,2.39
ACT,318,Bean,93922,City BEAN PPVC,537,31.68,1158,68.32,1695,-5.18
ACT,318,Bean,31298,Conder,751,37.68,1242,62.32,1993,-7.12
ACT,318,Bean,83835,Conder North,469,43.63,606,56.37,1075,-2.42
ACT,318,Bean,82523,Coombs,821,32.87,1677,67.13,2498,-2.84
ACT,318,Bean,93906,Curtin (Bean),48,33.8,94,66.2,142,-3.59
ACT,318,Bean,8767,Duffy,519,28.52,1301,71.48,1820,-0.24
ACT,318,Bean,93927,EAV Bean PPVC,6,42.86,8,57.14,14,27.48
ACT,318,Bean,108523,EAV COVID19 Bean PPVC,168,33.07,340,66.93,508,33.07
ACT,318,Bean,8768,Fadden,577,37.44,964,62.56,1541,-7.74
ACT,318,Bean,8769,Farrer,700,36.69,1208,63.31,1908,-4.48
ACT,318,Bean,93913,Garran (Bean),150,30.61,340,69.39,490,-9.9
ACT,318,Bean,8771,Gilmore,632,42.33,861,57.67,1493,-2.21
ACT,318,Bean,12072,Gordon,962,40.12,1436,59.88,2398,-2.59
ACT,318,Bean,83837,Gordon North,274,49.19,283,50.81,557,-2.5
ACT,318,Bean,8772,Gowrie,549,38.05,894,61.95,1443,-5.04
ACT,318,Bean,97445,Greenway,512,37.45,855,62.55,1367,-5.79
ACT,318,Bean,93929,Gungahlin BEAN PPVC,173,41,249,59,422,-10.6
ACT,318,Bean,8773,Holder,594,36.55,1031,63.45,1625,-3.87
ACT,318,Bean,93908,Hughes (Bean),82,34.45,156,65.55,238,-8.74
ACT,318,Bean,8884,Isabella Plains,629,38.76,994,61.24,1623,-3.45
ACT,318,Bean,8776,Kambah North,587,36.64,1015,63.36,1602,-1.49
ACT,318,Bean,8777,Kambah South,471,29.49,1126,70.51,1597,-5.23
ACT,318,Bean,8778,Kambah West,674,36.87,1154,63.13,1828,-2.97
ACT,318,Bean,93909,Lyons (Bean),157,28.09,402,71.91,559,-5.88
ACT,318,Bean,8780,Mawson,524,29.55,1249,70.45,1773,-9.33
ACT,318,Bean,8781,Monash,651,39.79,985,60.21,1636,-3.97
ACT,318,Bean,65739,Norfolk Island,110,41.35,156,58.65,266,-11.19
ACT,318,Bean,66153,Norfolk Island PPVC,225,51.02,216,48.98,441,-6.28
ACT,318,Bean,93928,Parkes (Bean),102,23.39,334,76.61,436,-0.6
ACT,318,Bean,97479,Parkes BEAN PPVC,503,29.36,1210,70.64,1713,-7.56
ACT,318,Bean,8784,Pearce,443,33.69,872,66.31,1315,-4.56
ACT,318,Bean,98056,Queanbeyan BEAN PPVC,145,47.08,163,52.92,308,4.6
ACT,318,Bean,8786,Richardson,469,38.76,741,61.24,1210,-5.14
ACT,318,Bean,8788,Tharwa,57,44.19,72,55.81,129,-4.92
