2022 Federal Election House of Representatives Turnout By Division [Event:27966 Phase:FinalResults Generated:2022-07-19T10:29:59 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
DivisionID,DivisionNm,StateAb,Enrolment,Turnout,TurnoutPercentage,TurnoutSwing
179,Adelaide,SA,129960,117202,90.18,-1.34
197,Aston,VIC,109705,101480,92.5,-1.79
198,Ballarat,VIC,110570,101609,91.9,-1.92
103,Banks,NSW,107700,98595,91.55,-1.48
180,Barker,SA,123326,113708,92.2,-2.33
104,Barton,NSW,110371,99028,89.72,-1.46
192,Bass,TAS,79322,72933,91.95,-2.09
318,Bean,ACT,109432,101309,92.58,-1.2
200,Bendigo,VIC,112354,103543,92.16,-2.15
105,Bennelong,NSW,114942,105778,92.03,-1.29
106,Berowra,NSW,106174,99389,93.61,-0.78
304,Blair,QLD,126366,110079,87.11,-4.23
107,Blaxland,NSW,107252,91561,85.37,-3.08
310,Bonner,QLD,109132,98841,90.57,-2.19
182,Boothby,SA,128592,118996,92.54,-1.07
155,Bowman,QLD,115715,104737,90.51,-2.53
193,Braddon,TAS,82424,76456,92.76,-2.33
108,Bradfield,NSW,108540,100320,92.43,-0.95
235,Brand,WA,118102,102232,86.56,-1.9
156,Brisbane,QLD,125208,111110,88.74,-1.77
201,Bruce,VIC,112756,99611,88.34,-3.67
317,Burt,WA,112918,97225,86.1,-0.89
109,Calare,NSW,121414,111774,92.06,-1.54
203,Calwell,VIC,106706,90719,85.02,-1.04
101,Canberra,ACT,102078,93990,92.08,-0.54
236,Canning,WA,115165,100822,87.55,-2.2
157,Capricornia,QLD,108569,96196,88.6,-3.98
204,Casey,VIC,114277,106273,93,-2.52
111,Chifley,NSW,121280,106660,87.95,-2.01
205,Chisholm,VIC,109851,101281,92.2,-2.61
319,Clark,TAS,74697,68818,92.13,-1.51
112,Cook,NSW,110221,102315,92.83,-0.82
320,Cooper,VIC,108610,97919,90.16,-2.18
328,Corangamite,VIC,112645,105055,93.26,1.01
208,Corio,VIC,112517,102285,90.91,-2.97
237,Cowan,WA,122611,107723,87.86,-2.83
113,Cowper,NSW,129688,117006,90.22,-1.81
114,Cunningham,NSW,117169,107185,91.48,-1.17
238,Curtin,WA,119268,108410,90.9,-1.1
158,Dawson,QLD,110384,96574,87.49,-3.3
209,Deakin,VIC,112455,104688,93.09,-2.08
252,Dickson,QLD,112786,103025,91.35,-2.32
115,Dobell,NSW,118400,106647,90.07,-1.98
210,Dunkley,VIC,111567,100472,90.06,-2.3
312,Durack,WA,118406,95742,80.86,-4.49
117,Eden-Monaro,NSW,116338,108600,93.35,0.04
159,Fadden,QLD,127728,110531,86.54,-3.09
160,Fairfax,QLD,123296,109725,88.99,-2.45
118,Farrer,NSW,119235,108838,91.28,-1.36
102,Fenner,ACT,102515,93814,91.51,-1.5
161,Fisher,QLD,125775,112024,89.07,-2.89
211,Flinders,VIC,114414,104589,91.41,-1.82
311,Flynn,QLD,108988,95983,88.07,-4.08
162,Forde,QLD,119085,101496,85.23,-4.26
239,Forrest,WA,113008,100324,88.78,-2.36
119,Fowler,NSW,108429,96001,88.54,-1.5
195,Franklin,TAS,80243,74955,93.41,-1.27
321,Fraser,VIC,110961,96359,86.84,-3.26
240,Fremantle,WA,116783,104078,89.12,-2.11
212,Gellibrand,VIC,108096,96926,89.67,-1.22
120,Gilmore,NSW,127603,116875,91.59,-1.29
213,Gippsland,VIC,114405,103979,90.89,-1.49
