2025 Federal Election House of Representatives First Preferences By Candidate By Polling Place for ACT [Event:31496 Phase:FinalResults Generated:2025-06-16T10:38:42 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,318,Bean,93925,Belconnen BEAN PPVC,41076,LAMERTON,David,1,N,N,LP,Liberal,272,-9.44
ACT,318,Bean,93925,Belconnen BEAN PPVC,41682,PRICE,Jessie,2,N,N,IND,Independent,232,18.56
ACT,318,Bean,93925,Belconnen BEAN PPVC,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,155,-4.88
ACT,318,Bean,93925,Belconnen BEAN PPVC,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,591,7.84
ACT,318,Bean,93925,Belconnen BEAN PPVC,999,Informal,Informal,999,N,N,,Informal,31,-0.98
ACT,318,Bean,11877,Bonython,41076,LAMERTON,David,1,N,N,LP,Liberal,254,-8.34
ACT,318,Bean,11877,Bonython,41682,PRICE,Jessie,2,N,N,IND,Independent,333,29.08
ACT,318,Bean,11877,Bonython,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,119,-3.41
ACT,318,Bean,11877,Bonython,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,439,-4.02
ACT,318,Bean,11877,Bonython,999,Informal,Informal,999,N,N,,Informal,28,-0.42
ACT,318,Bean,11452,Calwell,41076,LAMERTON,David,1,N,N,LP,Liberal,406,-6.03
ACT,318,Bean,11452,Calwell,41682,PRICE,Jessie,2,N,N,IND,Independent,482,27.72
ACT,318,Bean,11452,Calwell,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,144,-4.31
ACT,318,Bean,11452,Calwell,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,707,-0.9
ACT,318,Bean,11452,Calwell,999,Informal,Informal,999,N,N,,Informal,73,0.54
ACT,318,Bean,8761,Chapman,41076,LAMERTON,David,1,N,N,LP,Liberal,443,-6.07
ACT,318,Bean,8761,Chapman,41682,PRICE,Jessie,2,N,N,IND,Independent,658,31.35
ACT,318,Bean,8761,Chapman,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,186,-7.04
ACT,318,Bean,8761,Chapman,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,812,-4.46
ACT,318,Bean,8761,Chapman,999,Informal,Informal,999,N,N,,Informal,36,0.56
ACT,318,Bean,8763,Chisholm,41076,LAMERTON,David,1,N,N,LP,Liberal,369,-8.58
ACT,318,Bean,8763,Chisholm,41682,PRICE,Jessie,2,N,N,IND,Independent,369,24.62
ACT,318,Bean,8763,Chisholm,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,146,-0.87
ACT,318,Bean,8763,Chisholm,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,615,0.12
ACT,318,Bean,8763,Chisholm,999,Informal,Informal,999,N,N,,Informal,53,-0.14
ACT,318,Bean,93916,City (Bean),41076,LAMERTON,David,1,N,N,LP,Liberal,7,-12.32
ACT,318,Bean,93916,City (Bean),41682,PRICE,Jessie,2,N,N,IND,Independent,5,7.35
ACT,318,Bean,93916,City (Bean),41436,CARTER,Sam,3,N,N,GRN,Australian Greens,20,-7.53
ACT,318,Bean,93916,City (Bean),40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,36,27
ACT,318,Bean,93916,City (Bean),999,Informal,Informal,999,N,N,,Informal,2,-3.16
ACT,318,Bean,93922,City BEAN PPVC,41076,LAMERTON,David,1,N,N,LP,Liberal,323,-4.43
ACT,318,Bean,93922,City BEAN PPVC,41682,PRICE,Jessie,2,N,N,IND,Independent,367,24
ACT,318,Bean,93922,City BEAN PPVC,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,185,-7.36
ACT,318,Bean,93922,City BEAN PPVC,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,654,-0.58
ACT,318,Bean,93922,City BEAN PPVC,999,Informal,Informal,999,N,N,,Informal,28,-0.05
ACT,318,Bean,124111,City North (Bean),41076,LAMERTON,David,1,N,N,LP,Liberal,13,-1.3
ACT,318,Bean,124111,City North (Bean),41682,PRICE,Jessie,2,N,N,IND,Independent,12,19.67
ACT,318,Bean,124111,City North (Bean),41436,CARTER,Sam,3,N,N,GRN,Australian Greens,11,-18.91
ACT,318,Bean,124111,City North (Bean),40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,25,15.04
ACT,318,Bean,124111,City North (Bean),999,Informal,Informal,999,N,N,,Informal,2,-2.85
ACT,318,Bean,124103,City North BEAN PPVC,41076,LAMERTON,David,1,N,N,LP,Liberal,121,-3.75
ACT,318,Bean,124103,City North BEAN PPVC,41682,PRICE,Jessie,2,N,N,IND,Independent,129,23.24
ACT,318,Bean,124103,City North BEAN PPVC,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,73,-6.31
ACT,318,Bean,124103,City North BEAN PPVC,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,232,-1.55
ACT,318,Bean,124103,City North BEAN PPVC,999,Informal,Informal,999,N,N,,Informal,12,0.27
ACT,318,Bean,31298,Conder,41076,LAMERTON,David,1,N,N,LP,Liberal,386,-8.3
ACT,318,Bean,31298,Conder,41682,PRICE,Jessie,2,N,N,IND,Independent,490,26.78
ACT,318,Bean,31298,Conder,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,182,-2.53
ACT,318,Bean,31298,Conder,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,772,0.59
ACT,318,Bean,31298,Conder,999,Informal,Informal,999,N,N,,Informal,61,-0.93
ACT,318,Bean,83835,Conder North,41076,LAMERTON,David,1,N,N,LP,Liberal,272,-7.56
ACT,318,Bean,83835,Conder North,41682,PRICE,Jessie,2,N,N,IND,Independent,285,27.8
ACT,318,Bean,83835,Conder North,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,79,-3.68
ACT,318,Bean,83835,Conder North,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,389,-1.14
ACT,318,Bean,83835,Conder North,999,Informal,Informal,999,N,N,,Informal,35,-0.1
ACT,318,Bean,82523,Coombs,41076,LAMERTON,David,1,N,N,LP,Liberal,366,-11.08
ACT,318,Bean,82523,Coombs,41682,PRICE,Jessie,2,N,N,IND,Independent,606,26.13
ACT,318,Bean,82523,Coombs,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,348,-4
ACT,318,Bean,82523,Coombs,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,999,-0.7
ACT,318,Bean,82523,Coombs,999,Informal,Informal,999,N,N,,Informal,52,0.54
ACT,318,Bean,93906,Curtin (Bean),41076,LAMERTON,David,1,N,N,LP,Liberal,42,-6.48
ACT,318,Bean,93906,Curtin (Bean),41682,PRICE,Jessie,2,N,N,IND,Independent,51,22.08
ACT,318,Bean,93906,Curtin (Bean),41436,CARTER,Sam,3,N,N,GRN,Australian Greens,45,-3.03
ACT,318,Bean,93906,Curtin (Bean),40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,93,-3.39
ACT,318,Bean,93906,Curtin (Bean),999,Informal,Informal,999,N,N,,Informal,4,1
ACT,318,Bean,108985,Denman Prospect,41076,LAMERTON,David,1,N,N,LP,Liberal,247,-8.43
ACT,318,Bean,108985,Denman Prospect,41682,PRICE,Jessie,2,N,N,IND,Independent,337,25.15
ACT,318,Bean,108985,Denman Prospect,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,167,-6.55
ACT,318,Bean,108985,Denman Prospect,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,589,0.18
ACT,318,Bean,108985,Denman Prospect,999,Informal,Informal,999,N,N,,Informal,17,-0.4
ACT,318,Bean,8767,Duffy,41076,LAMERTON,David,1,N,N,LP,Liberal,282,-6.44
ACT,318,Bean,8767,Duffy,41682,PRICE,Jessie,2,N,N,IND,Independent,557,32.05
ACT,318,Bean,8767,Duffy,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,198,-6.85
ACT,318,Bean,8767,Duffy,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,701,-5.35
ACT,318,Bean,8767,Duffy,999,Informal,Informal,999,N,N,,Informal,35,-0.06
ACT,318,Bean,93927,EAV Bean PPVC,41076,LAMERTON,David,1,N,N,LP,Liberal,5,-4.39
ACT,318,Bean,93927,EAV Bean PPVC,41682,PRICE,Jessie,2,N,N,IND,Independent,1,6.25
ACT,318,Bean,93927,EAV Bean PPVC,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,5,16.93
ACT,318,Bean,93927,EAV Bean PPVC,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,5,-4.52
ACT,318,Bean,93927,EAV Bean PPVC,999,Informal,Informal,999,N,N,,Informal,0,-0.01
ACT,318,Bean,8768,Fadden,41076,LAMERTON,David,1,N,N,LP,Liberal,372,-6.05
ACT,318,Bean,8768,Fadden,41682,PRICE,Jessie,2,N,N,IND,Independent,429,28.09
ACT,318,Bean,8768,Fadden,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,106,-6.46
ACT,318,Bean,8768,Fadden,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,620,-2.35
ACT,318,Bean,8768,Fadden,999,Informal,Informal,999,N,N,,Informal,34,-0.09
ACT,318,Bean,8769,Farrer,41076,LAMERTON,David,1,N,N,LP,Liberal,396,-7.74
ACT,318,Bean,8769,Farrer,41682,PRICE,Jessie,2,N,N,IND,Independent,509,28.76
ACT,318,Bean,8769,Farrer,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,149,-6.59
ACT,318,Bean,8769,Farrer,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,716,-2.1
ACT,318,Bean,8769,Farrer,999,Informal,Informal,999,N,N,,Informal,37,-0.1
ACT,318,Bean,93913,Garran (Bean),41076,LAMERTON,David,1,N,N,LP,Liberal,105,-4.31
ACT,318,Bean,93913,Garran (Bean),41682,PRICE,Jessie,2,N,N,IND,Independent,115,21.46
ACT,318,Bean,93913,Garran (Bean),41436,CARTER,Sam,3,N,N,GRN,Australian Greens,109,-2.28
ACT,318,Bean,93913,Garran (Bean),40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,207,-3.83
ACT,318,Bean,93913,Garran (Bean),999,Informal,Informal,999,N,N,,Informal,12,-0.38
ACT,318,Bean,8771,Gilmore,41076,LAMERTON,David,1,N,N,LP,Liberal,315,-8.09
ACT,318,Bean,8771,Gilmore,41682,PRICE,Jessie,2,N,N,IND,Independent,297,25.08
ACT,318,Bean,8771,Gilmore,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,88,-4.48
ACT,318,Bean,8771,Gilmore,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,484,3.33
ACT,318,Bean,8771,Gilmore,999,Informal,Informal,999,N,N,,Informal,44,-1.59
ACT,318,Bean,12072,Gordon,41076,LAMERTON,David,1,N,N,LP,Liberal,481,-9.08
ACT,318,Bean,12072,Gordon,41682,PRICE,Jessie,2,N,N,IND,Independent,566,25.5
ACT,318,Bean,12072,Gordon,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,190,-3.87
ACT,318,Bean,12072,Gordon,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,983,2.95
ACT,318,Bean,12072,Gordon,999,Informal,Informal,999,N,N,,Informal,109,0.43
ACT,318,Bean,83837,Gordon North,41076,LAMERTON,David,1,N,N,LP,Liberal,153,-3.29
ACT,318,Bean,83837,Gordon North,41682,PRICE,Jessie,2,N,N,IND,Independent,114,25.05
ACT,318,Bean,83837,Gordon North,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,34,-3.53
ACT,318,Bean,83837,Gordon North,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,154,-0.13
ACT,318,Bean,83837,Gordon North,999,Informal,Informal,999,N,N,,Informal,6,-2.65
ACT,318,Bean,8772,Gowrie,41076,LAMERTON,David,1,N,N,LP,Liberal,329,-7.74
ACT,318,Bean,8772,Gowrie,41682,PRICE,Jessie,2,N,N,IND,Independent,450,30.22
ACT,318,Bean,8772,Gowrie,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,132,-7.85
ACT,318,Bean,8772,Gowrie,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,578,0.33
ACT,318,Bean,8772,Gowrie,999,Informal,Informal,999,N,N,,Informal,45,-0.27
ACT,318,Bean,97445,Greenway,41076,LAMERTON,David,1,N,N,LP,Liberal,289,-7.51
ACT,318,Bean,97445,Greenway,41682,PRICE,Jessie,2,N,N,IND,Independent,352,24.43
ACT,318,Bean,97445,Greenway,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,239,-2.21
ACT,318,Bean,97445,Greenway,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,561,1.38
ACT,318,Bean,97445,Greenway,999,Informal,Informal,999,N,N,,Informal,48,0.32
ACT,318,Bean,93929,Gungahlin BEAN PPVC,41076,LAMERTON,David,1,N,N,LP,Liberal,95,-5.03
ACT,318,Bean,93929,Gungahlin BEAN PPVC,41682,PRICE,Jessie,2,N,N,IND,Independent,63,17.07
ACT,318,Bean,93929,Gungahlin BEAN PPVC,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,52,-4.86
ACT,318,Bean,93929,Gungahlin BEAN PPVC,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,159,8.92
ACT,318,Bean,93929,Gungahlin BEAN PPVC,999,Informal,Informal,999,N,N,,Informal,12,-1.57
ACT,318,Bean,8773,Holder,41076,LAMERTON,David,1,N,N,LP,Liberal,372,-3.46
ACT,318,Bean,8773,Holder,41682,PRICE,Jessie,2,N,N,IND,Independent,417,29.08
ACT,318,Bean,8773,Holder,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,92,-6.97
ACT,318,Bean,8773,Holder,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,553,-5.49
ACT,318,Bean,8773,Holder,999,Informal,Informal,999,N,N,,Informal,26,-0.49
ACT,318,Bean,93908,Hughes (Bean),41076,LAMERTON,David,1,N,N,LP,Liberal,17,-10.56
ACT,318,Bean,93908,Hughes (Bean),41682,PRICE,Jessie,2,N,N,IND,Independent,34,29.31
ACT,318,Bean,93908,Hughes (Bean),41436,CARTER,Sam,3,N,N,GRN,Australian Greens,19,-1.27
ACT,318,Bean,93908,Hughes (Bean),40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,46,-4.44
ACT,318,Bean,93908,Hughes (Bean),999,Informal,Informal,999,N,N,,Informal,2,-0.76
ACT,318,Bean,8884,Isabella Plains,41076,LAMERTON,David,1,N,N,LP,Liberal,343,-9.4
ACT,318,Bean,8884,Isabella Plains,41682,PRICE,Jessie,2,N,N,IND,Independent,495,30.15
ACT,318,Bean,8884,Isabella Plains,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,141,-3.83
ACT,318,Bean,8884,Isabella Plains,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,663,-0.23
ACT,318,Bean,8884,Isabella Plains,999,Informal,Informal,999,N,N,,Informal,60,-1.31
ACT,318,Bean,8776,Kambah North,41076,LAMERTON,David,1,N,N,LP,Liberal,312,-7.17
ACT,318,Bean,8776,Kambah North,41682,PRICE,Jessie,2,N,N,IND,Independent,506,32.81
ACT,318,Bean,8776,Kambah North,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,177,-4.76
ACT,318,Bean,8776,Kambah North,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,547,-3.12
ACT,318,Bean,8776,Kambah North,999,Informal,Informal,999,N,N,,Informal,34,-0.74
ACT,318,Bean,8777,Kambah South,41076,LAMERTON,David,1,N,N,LP,Liberal,281,-5.72
ACT,318,Bean,8777,Kambah South,41682,PRICE,Jessie,2,N,N,IND,Independent,567,31.96
ACT,318,Bean,8777,Kambah South,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,240,-5.38
ACT,318,Bean,8777,Kambah South,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,686,-5.71
ACT,318,Bean,8777,Kambah South,999,Informal,Informal,999,N,N,,Informal,36,-1.04
ACT,318,Bean,8778,Kambah West,41076,LAMERTON,David,1,N,N,LP,Liberal,373,-7.33
ACT,318,Bean,8778,Kambah West,41682,PRICE,Jessie,2,N,N,IND,Independent,499,30.48
ACT,318,Bean,8778,Kambah West,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,137,-6.09
ACT,318,Bean,8778,Kambah West,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,628,-3.54
ACT,318,Bean,8778,Kambah West,999,Informal,Informal,999,N,N,,Informal,34,-0.62
ACT,318,Bean,93909,Lyons (Bean),41076,LAMERTON,David,1,N,N,LP,Liberal,86,-4.72
ACT,318,Bean,93909,Lyons (Bean),41682,PRICE,Jessie,2,N,N,IND,Independent,131,26.1
ACT,318,Bean,93909,Lyons (Bean),41436,CARTER,Sam,3,N,N,GRN,Australian Greens,99,-2.44
ACT,318,Bean,93909,Lyons (Bean),40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,186,-6.23
ACT,318,Bean,93909,Lyons (Bean),999,Informal,Informal,999,N,N,,Informal,10,-0.48
ACT,318,Bean,8780,Mawson,41076,LAMERTON,David,1,N,N,LP,Liberal,342,-3.85
ACT,318,Bean,8780,Mawson,41682,PRICE,Jessie,2,N,N,IND,Independent,475,28.06
ACT,318,Bean,8780,Mawson,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,196,-8.21
ACT,318,Bean,8780,Mawson,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,680,-4.93
ACT,318,Bean,8780,Mawson,999,Informal,Informal,999,N,N,,Informal,51,-0.23
ACT,318,Bean,8781,Monash,41076,LAMERTON,David,1,N,N,LP,Liberal,402,-7.95
ACT,318,Bean,8781,Monash,41682,PRICE,Jessie,2,N,N,IND,Independent,521,30.29
ACT,318,Bean,8781,Monash,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,143,-4.63
ACT,318,Bean,8781,Monash,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,654,-2.82
ACT,318,Bean,8781,Monash,999,Informal,Informal,999,N,N,,Informal,48,-0.92
ACT,318,Bean,65739,Norfolk Island,41076,LAMERTON,David,1,N,N,LP,Liberal,63,-0.31
ACT,318,Bean,65739,Norfolk Island,41682,PRICE,Jessie,2,N,N,IND,Independent,147,43.24
ACT,318,Bean,65739,Norfolk Island,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,36,-8.21
ACT,318,Bean,65739,Norfolk Island,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,94,7.24
ACT,318,Bean,65739,Norfolk Island,999,Informal,Informal,999,N,N,,Informal,21,-6.05
ACT,318,Bean,66153,Norfolk Island PPVC,41076,LAMERTON,David,1,N,N,LP,Liberal,110,-10.29
ACT,318,Bean,66153,Norfolk Island PPVC,41682,PRICE,Jessie,2,N,N,IND,Independent,236,44.53
ACT,318,Bean,66153,Norfolk Island PPVC,41436,CARTER,Sam,3,N,N,GRN,Australian Greens,39,-3.35
ACT,318,Bean,66153,Norfolk Island PPVC,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,145,1.42
