2025 Federal Election House of Representatives First Preferences By Candidate By Polling Place for NT [Event:31496 Phase:FinalResults Generated:2025-06-16T10:38:42 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NT,306,Lingiari,8701,Alice Springs,41011,SCRYMGOUR,Marion,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,401,9.33
NT,306,Lingiari,8701,Alice Springs,40635,FLYNN,Peter,2,N,N,CEC,Citizens Party,19,0.98
NT,306,Lingiari,8701,Alice Springs,41843,TOMLINS,Chris,3,N,N,IAP,Indigenous - Aboriginal Party of Australia,48,4.46
NT,306,Lingiari,8701,Alice Springs,41151,McFARLAND,Blair,4,N,N,GRN,Australian Greens,251,0.34
NT,306,Lingiari,8701,Alice Springs,41020,BAIRAMIS,Sakellarios,5,N,N,ON,Pauline Hanson's One Nation,74,0.42
NT,306,Lingiari,8701,Alice Springs,41126,SIEBERT,Lisa,6,N,N,CLP,NT CLP,283,-7.4
NT,306,Lingiari,8701,Alice Springs,999,Informal,Informal,999,N,N,,Informal,36,-2.81
NT,306,Lingiari,65681,Alice Springs PPVC,41011,SCRYMGOUR,Marion,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,2000,2.53
NT,306,Lingiari,65681,Alice Springs PPVC,40635,FLYNN,Peter,2,N,N,CEC,Citizens Party,90,0.89
NT,306,Lingiari,65681,Alice Springs PPVC,41843,TOMLINS,Chris,3,N,N,IAP,Indigenous - Aboriginal Party of Australia,138,2.45
NT,306,Lingiari,65681,Alice Springs PPVC,41151,McFARLAND,Blair,4,N,N,GRN,Australian Greens,973,0.49
NT,306,Lingiari,65681,Alice Springs PPVC,41020,BAIRAMIS,Sakellarios,5,N,N,ON,Pauline Hanson's One Nation,349,2.35
NT,306,Lingiari,65681,Alice Springs PPVC,41126,SIEBERT,Lisa,6,N,N,CLP,NT CLP,2092,-3.01
NT,306,Lingiari,65681,Alice Springs PPVC,999,Informal,Informal,999,N,N,,Informal,215,-1.13
NT,306,Lingiari,34264,Bees Creek,41011,SCRYMGOUR,Marion,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,50,1.22
NT,306,Lingiari,34264,Bees Creek,40635,FLYNN,Peter,2,N,N,CEC,Citizens Party,3,0.18
NT,306,Lingiari,34264,Bees Creek,41843,TOMLINS,Chris,3,N,N,IAP,Indigenous - Aboriginal Party of Australia,1,0.44
