2025 Federal Election House of Representatives First Preferences By Candidate By Polling Place for QLD [Event:31496 Phase:FinalResults Generated:2025-06-16T10:38:44 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
QLD,304,Blair,108873,Bellbowrie BLAIR PPVC,41202,MUTZELBURG,Carl,1,N,N,LNP,LNP,357,4.83
QLD,304,Blair,108873,Bellbowrie BLAIR PPVC,42043,BULL,Anthony,2,N,N,LTP,Libertarian,6,0.54
QLD,304,Blair,108873,Bellbowrie BLAIR PPVC,40963,CHADWICK,Kathryn,3,N,N,GRPF,Gerard Rennick People First,56,5.06
QLD,304,Blair,108873,Bellbowrie BLAIR PPVC,41530,LOWERY,Angela,4,N,N,AJP,Animal Justice Party,12,-1.42
QLD,304,Blair,108873,Bellbowrie BLAIR PPVC,41325,McDONALD,Edward,5,N,N,CYA,Trumpet of Patriots,35,3.16
QLD,304,Blair,108873,Bellbowrie BLAIR PPVC,40725,NEUMANN,Shayne,6,Y,Y,ALP,Australian Labor Party,342,-0.06
QLD,304,Blair,108873,Bellbowrie BLAIR PPVC,40846,PURDON,John Frederick,7,N,N,FFP,Family First,11,0.99
QLD,304,Blair,108873,Bellbowrie BLAIR PPVC,41250,TONER,Paul,8,N,N,GRN,The Greens,200,2.33
QLD,304,Blair,108873,Bellbowrie BLAIR PPVC,40927,HOPKINS,Anthony,9,N,N,HMP,Legalise Cannabis Party,29,2.62
QLD,304,Blair,108873,Bellbowrie BLAIR PPVC,40920,KROSS,Brendan,10,N,N,ON,Pauline Hanson's One Nation,59,-4.81
QLD,304,Blair,108873,Bellbowrie BLAIR PPVC,999,Informal,Informal,999,N,N,,Informal,50,0.72
QLD,304,Blair,6347,Brassall,41202,MUTZELBURG,Carl,1,N,N,LNP,LNP,324,-4.08
QLD,304,Blair,6347,Brassall,42043,BULL,Anthony,2,N,N,LTP,Libertarian,29,2.15
QLD,304,Blair,6347,Brassall,40963,CHADWICK,Kathryn,3,N,N,GRPF,Gerard Rennick People First,62,4.59
QLD,304,Blair,6347,Brassall,41530,LOWERY,Angela,4,N,N,AJP,Animal Justice Party,15,-1.59
QLD,304,Blair,6347,Brassall,41325,McDONALD,Edward,5,N,N,CYA,Trumpet of Patriots,33,2.44
QLD,304,Blair,6347,Brassall,40725,NEUMANN,Shayne,6,Y,Y,ALP,Australian Labor Party,483,-3.99
QLD,304,Blair,6347,Brassall,40846,PURDON,John Frederick,7,N,N,FFP,Family First,31,2.29
QLD,304,Blair,6347,Brassall,41250,TONER,Paul,8,N,N,GRN,The Greens,154,-1.83
QLD,304,Blair,6347,Brassall,40927,HOPKINS,Anthony,9,N,N,HMP,Legalise Cannabis Party,98,7.25
QLD,304,Blair,6347,Brassall,40920,KROSS,Brendan,10,N,N,ON,Pauline Hanson's One Nation,122,2.39
QLD,304,Blair,6347,Brassall,999,Informal,Informal,999,N,N,,Informal,121,2.85
QLD,304,Blair,6348,Brassall North,41202,MUTZELBURG,Carl,1,N,N,LNP,LNP,258,-0.5
QLD,304,Blair,6348,Brassall North,42043,BULL,Anthony,2,N,N,LTP,Libertarian,22,1.69
QLD,304,Blair,6348,Brassall North,40963,CHADWICK,Kathryn,3,N,N,GRPF,Gerard Rennick People First,35,2.69
QLD,304,Blair,6348,Brassall North,41530,LOWERY,Angela,4,N,N,AJP,Animal Justice Party,25,-2.17
QLD,304,Blair,6348,Brassall North,41325,McDONALD,Edward,5,N,N,CYA,Trumpet of Patriots,43,3.3
QLD,304,Blair,6348,Brassall North,40725,NEUMANN,Shayne,6,Y,Y,ALP,Australian Labor Party,487,-1.62
QLD,304,Blair,6348,Brassall North,40846,PURDON,John Frederick,7,N,N,FFP,Family First,16,1.23
QLD,304,Blair,6348,Brassall North,41250,TONER,Paul,8,N,N,GRN,The Greens,174,-2.66
QLD,304,Blair,6348,Brassall North,40927,HOPKINS,Anthony,9,N,N,HMP,Legalise Cannabis Party,112,8.6
QLD,304,Blair,6348,Brassall North,40920,KROSS,Brendan,10,N,N,ON,Pauline Hanson's One Nation,131,-0.41
QLD,304,Blair,6348,Brassall North,999,Informal,Informal,999,N,N,,Informal,122,-0.04
QLD,304,Blair,6349,Bundamba,41202,MUTZELBURG,Carl,1,N,N,LNP,LNP,185,0.74
QLD,304,Blair,6349,Bundamba,42043,BULL,Anthony,2,N,N,LTP,Libertarian,17,1.88
QLD,304,Blair,6349,Bundamba,40963,CHADWICK,Kathryn,3,N,N,GRPF,Gerard Rennick People First,44,4.86
QLD,304,Blair,6349,Bundamba,41530,LOWERY,Angela,4,N,N,AJP,Animal Justice Party,22,0.28
QLD,304,Blair,6349,Bundamba,41325,McDONALD,Edward,5,N,N,CYA,Trumpet of Patriots,37,4.09
QLD,304,Blair,6349,Bundamba,40725,NEUMANN,Shayne,6,Y,Y,ALP,Australian Labor Party,312,-5.98
QLD,304,Blair,6349,Bundamba,40846,PURDON,John Frederick,7,N,N,FFP,Family First,25,2.76
QLD,304,Blair,6349,Bundamba,41250,TONER,Paul,8,N,N,GRN,The Greens,112,-2.11
