2025 Federal Election House of Representatives First Preferences By Candidate By Polling Place for SA [Event:31496 Phase:FinalResults Generated:2025-06-16T10:38:42 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
SA,179,Adelaide,6648,Adelaide,41809,PENGILLEY,Lionel,1,N,N,AJP,Animal Justice Party,25,3.32
SA,179,Adelaide,6648,Adelaide,41210,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,282,3.55
SA,179,Adelaide,6648,Adelaide,41039,MARKS,Steve,3,N,N,CYA,Trumpet of Patriots,19,1.88
SA,179,Adelaide,6648,Adelaide,41013,MONTI,Mat,4,N,N,GRN,The Greens,238,0.62
SA,179,Adelaide,6648,Adelaide,41060,McMILLAN,Matthew,5,N,N,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,21,-0.29
SA,179,Adelaide,6648,Adelaide,42034,SIZE,Riley,6,N,N,ON,Pauline Hanson's One Nation,27,0.83
SA,179,Adelaide,6648,Adelaide,41014,GRANTHAM,Amy,7,N,N,LP,Liberal,142,-7.03
SA,179,Adelaide,6648,Adelaide,999,Informal,Informal,999,N,N,,Informal,28,1.08
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,41809,PENGILLEY,Lionel,1,N,N,AJP,Animal Justice Party,87,1.63
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,41210,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,2422,8.29
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,41039,MARKS,Steve,3,N,N,CYA,Trumpet of Patriots,126,1.57
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,41013,MONTI,Mat,4,N,N,GRN,The Greens,1336,-3.52
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,41060,McMILLAN,Matthew,5,N,N,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,89,0.07
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,42034,SIZE,Riley,6,N,N,ON,Pauline Hanson's One Nation,126,0.51
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,41014,GRANTHAM,Amy,7,N,N,LP,Liberal,1153,-6.63
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,999,Informal,Informal,999,N,N,,Informal,133,0.03
SA,179,Adelaide,6649,Adelaide East,41809,PENGILLEY,Lionel,1,N,N,AJP,Animal Justice Party,25,2.27
SA,179,Adelaide,6649,Adelaide East,41210,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,451,6.79
SA,179,Adelaide,6649,Adelaide East,41039,MARKS,Steve,3,N,N,CYA,Trumpet of Patriots,19,1.15
SA,179,Adelaide,6649,Adelaide East,41013,MONTI,Mat,4,N,N,GRN,The Greens,267,-4.34
SA,179,Adelaide,6649,Adelaide East,41060,McMILLAN,Matthew,5,N,N,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,28,0.57
SA,179,Adelaide,6649,Adelaide East,42034,SIZE,Riley,6,N,N,ON,Pauline Hanson's One Nation,37,0.72
SA,179,Adelaide,6649,Adelaide East,41014,GRANTHAM,Amy,7,N,N,LP,Liberal,273,-4.67
SA,179,Adelaide,6649,Adelaide East,999,Informal,Informal,999,N,N,,Informal,42,0.74
SA,179,Adelaide,6651,Adelaide South,41809,PENGILLEY,Lionel,1,N,N,AJP,Animal Justice Party,51,3.13
SA,179,Adelaide,6651,Adelaide South,41210,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,672,7.69
SA,179,Adelaide,6651,Adelaide South,41039,MARKS,Steve,3,N,N,CYA,Trumpet of Patriots,30,1.33
SA,179,Adelaide,6651,Adelaide South,41013,MONTI,Mat,4,N,N,GRN,The Greens,516,-4.8
SA,179,Adelaide,6651,Adelaide South,41060,McMILLAN,Matthew,5,N,N,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,25,-0.92
SA,179,Adelaide,6651,Adelaide South,42034,SIZE,Riley,6,N,N,ON,Pauline Hanson's One Nation,45,0.73
SA,179,Adelaide,6651,Adelaide South,41014,GRANTHAM,Amy,7,N,N,LP,Liberal,292,-5.24
SA,179,Adelaide,6651,Adelaide South,999,Informal,Informal,999,N,N,,Informal,40,-0.94
SA,179,Adelaide,83454,Adelaide West,41809,PENGILLEY,Lionel,1,N,N,AJP,Animal Justice Party,14,2.39
SA,179,Adelaide,83454,Adelaide West,41210,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,252,4.11
SA,179,Adelaide,83454,Adelaide West,41039,MARKS,Steve,3,N,N,CYA,Trumpet of Patriots,12,1.18
SA,179,Adelaide,83454,Adelaide West,41013,MONTI,Mat,4,N,N,GRN,The Greens,182,0.72
SA,179,Adelaide,83454,Adelaide West,41060,McMILLAN,Matthew,5,N,N,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,18,0.67
SA,179,Adelaide,83454,Adelaide West,42034,SIZE,Riley,6,N,N,ON,Pauline Hanson's One Nation,14,-1.01
SA,179,Adelaide,83454,Adelaide West,41014,GRANTHAM,Amy,7,N,N,LP,Liberal,94,-6.2
SA,179,Adelaide,83454,Adelaide West,999,Informal,Informal,999,N,N,,Informal,12,-1.05
SA,179,Adelaide,7048,Allenby Gardens (Adelaide),41809,PENGILLEY,Lionel,1,N,N,AJP,Animal Justice Party,36,2.16
SA,179,Adelaide,7048,Allenby Gardens (Adelaide),41210,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,860,8.67
SA,179,Adelaide,7048,Allenby Gardens (Adelaide),41039,MARKS,Steve,3,N,N,CYA,Trumpet of Patriots,66,2.81
SA,179,Adelaide,7048,Allenby Gardens (Adelaide),41013,MONTI,Mat,4,N,N,GRN,The Greens,273,-5.37
SA,179,Adelaide,7048,Allenby Gardens (Adelaide),41060,McMILLAN,Matthew,5,N,N,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,27,0.23
SA,179,Adelaide,7048,Allenby Gardens (Adelaide),42034,SIZE,Riley,6,N,N,ON,Pauline Hanson's One Nation,95,1.83
SA,179,Adelaide,7048,Allenby Gardens (Adelaide),41014,GRANTHAM,Amy,7,N,N,LP,Liberal,310,-5.8
SA,179,Adelaide,7048,Allenby Gardens (Adelaide),999,Informal,Informal,999,N,N,,Informal,84,1.22
SA,179,Adelaide,7008,Black Forest (Adelaide),41809,PENGILLEY,Lionel,1,N,N,AJP,Animal Justice Party,11,1.68
SA,179,Adelaide,7008,Black Forest (Adelaide),41210,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,278,5.74
SA,179,Adelaide,7008,Black Forest (Adelaide),41039,MARKS,Steve,3,N,N,CYA,Trumpet of Patriots,16,1.93
SA,179,Adelaide,7008,Black Forest (Adelaide),41013,MONTI,Mat,4,N,N,GRN,The Greens,171,1.21
SA,179,Adelaide,7008,Black Forest (Adelaide),41060,McMILLAN,Matthew,5,N,N,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,18,0.58
SA,179,Adelaide,7008,Black Forest (Adelaide),42034,SIZE,Riley,6,N,N,ON,Pauline Hanson's One Nation,15,0.08
SA,179,Adelaide,7008,Black Forest (Adelaide),41014,GRANTHAM,Amy,7,N,N,LP,Liberal,147,-7.51
SA,179,Adelaide,7008,Black Forest (Adelaide),999,Informal,Informal,999,N,N,,Informal,25,-0.14
SA,179,Adelaide,6654,Blair Athol,41809,PENGILLEY,Lionel,1,N,N,AJP,Animal Justice Party,25,2.29
SA,179,Adelaide,6654,Blair Athol,41210,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,601,1.59
