2025 Federal Election House of Representatives First Preferences By Candidate By Polling Place for TAS [Event:31496 Phase:FinalResults Generated:2025-06-16T10:38:42 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
TAS,192,Bass,8553,Beaconsfield,41546,TEESDALE,Jess,1,Y,N,ALP,Australian Labor Party,390,14.96
TAS,192,Bass,8553,Beaconsfield,40738,LARNER,Caroline,2,N,N,CEC,Citizens Party,14,1.53
TAS,192,Bass,8553,Beaconsfield,40756,ARCHER,Bridget Kathleen,3,N,Y,LP,Liberal,240,-8.86
TAS,192,Bass,8553,Beaconsfield,42067,POTTER,Jordan,4,N,N,ON,Pauline Hanson's One Nation,78,1.65
TAS,192,Bass,8553,Beaconsfield,41322,McLENNAN,Charlene,5,N,N,GRN,The Greens,86,1.54
TAS,192,Bass,8553,Beaconsfield,36070,RAZAY,George,6,N,N,IND,Independent,53,1.25
TAS,192,Bass,8553,Beaconsfield,42108,BROOMHALL,Ray,7,N,N,CYA,Trumpet of Patriots,52,5.7
TAS,192,Bass,8553,Beaconsfield,999,Informal,Informal,999,N,N,,Informal,58,-3.88
TAS,192,Bass,8608,Beauty Point,41546,TEESDALE,Jess,1,Y,N,ALP,Australian Labor Party,240,16.11
TAS,192,Bass,8608,Beauty Point,40738,LARNER,Caroline,2,N,N,CEC,Citizens Party,10,1.83
TAS,192,Bass,8608,Beauty Point,40756,ARCHER,Bridget Kathleen,3,N,Y,LP,Liberal,155,-10.95
TAS,192,Bass,8608,Beauty Point,42067,POTTER,Jordan,4,N,N,ON,Pauline Hanson's One Nation,44,1.31
TAS,192,Bass,8608,Beauty Point,41322,McLENNAN,Charlene,5,N,N,GRN,The Greens,49,0.5
TAS,192,Bass,8608,Beauty Point,36070,RAZAY,George,6,N,N,IND,Independent,29,1.33
TAS,192,Bass,8608,Beauty Point,42108,BROOMHALL,Ray,7,N,N,CYA,Trumpet of Patriots,20,3.66
TAS,192,Bass,8608,Beauty Point,999,Informal,Informal,999,N,N,,Informal,25,-4.54
TAS,192,Bass,8290,Branxholm,41546,TEESDALE,Jess,1,Y,N,ALP,Australian Labor Party,75,12.62
TAS,192,Bass,8290,Branxholm,40738,LARNER,Caroline,2,N,N,CEC,Citizens Party,6,3.05
TAS,192,Bass,8290,Branxholm,40756,ARCHER,Bridget Kathleen,3,N,Y,LP,Liberal,58,-9.66
TAS,192,Bass,8290,Branxholm,42067,POTTER,Jordan,4,N,N,ON,Pauline Hanson's One Nation,18,0.1
TAS,192,Bass,8290,Branxholm,41322,McLENNAN,Charlene,5,N,N,GRN,The Greens,23,1.48
TAS,192,Bass,8290,Branxholm,36070,RAZAY,George,6,N,N,IND,Independent,7,2.46
TAS,192,Bass,8290,Branxholm,42108,BROOMHALL,Ray,7,N,N,CYA,Trumpet of Patriots,10,5.08
TAS,192,Bass,8290,Branxholm,999,Informal,Informal,999,N,N,,Informal,3,-7.22
TAS,192,Bass,8291,Bridport,41546,TEESDALE,Jess,1,Y,N,ALP,Australian Labor Party,303,11.23
TAS,192,Bass,8291,Bridport,40738,LARNER,Caroline,2,N,N,CEC,Citizens Party,14,1.46
TAS,192,Bass,8291,Bridport,40756,ARCHER,Bridget Kathleen,3,N,Y,LP,Liberal,444,-10.51
TAS,192,Bass,8291,Bridport,42067,POTTER,Jordan,4,N,N,ON,Pauline Hanson's One Nation,66,3.8
TAS,192,Bass,8291,Bridport,41322,McLENNAN,Charlene,5,N,N,GRN,The Greens,58,0.57
TAS,192,Bass,8291,Bridport,36070,RAZAY,George,6,N,N,IND,Independent,35,-0.38
TAS,192,Bass,8291,Bridport,42108,BROOMHALL,Ray,7,N,N,CYA,Trumpet of Patriots,42,4.37
TAS,192,Bass,8291,Bridport,999,Informal,Informal,999,N,N,,Informal,37,-2.38
TAS,192,Bass,8295,Derby,41546,TEESDALE,Jess,1,Y,N,ALP,Australian Labor Party,32,3.34
TAS,192,Bass,8295,Derby,40738,LARNER,Caroline,2,N,N,CEC,Citizens Party,2,1.96
TAS,192,Bass,8295,Derby,40756,ARCHER,Bridget Kathleen,3,N,Y,LP,Liberal,25,-5.09
TAS,192,Bass,8295,Derby,42067,POTTER,Jordan,4,N,N,ON,Pauline Hanson's One Nation,7,4.17
TAS,192,Bass,8295,Derby,41322,McLENNAN,Charlene,5,N,N,GRN,The Greens,30,5.69
TAS,192,Bass,8295,Derby,36070,RAZAY,George,6,N,N,IND,Independent,3,-2.38
TAS,192,Bass,8295,Derby,42108,BROOMHALL,Ray,7,N,N,CYA,Trumpet of Patriots,3,2.94
TAS,192,Bass,8295,Derby,999,Informal,Informal,999,N,N,,Informal,6,-2.88
TAS,192,Bass,8296,Dilston,41546,TEESDALE,Jess,1,Y,N,ALP,Australian Labor Party,168,4.88
TAS,192,Bass,8296,Dilston,40738,LARNER,Caroline,2,N,N,CEC,Citizens Party,6,1.01
TAS,192,Bass,8296,Dilston,40756,ARCHER,Bridget Kathleen,3,N,Y,LP,Liberal,234,-6.44
TAS,192,Bass,8296,Dilston,42067,POTTER,Jordan,4,N,N,ON,Pauline Hanson's One Nation,39,1.89
TAS,192,Bass,8296,Dilston,41322,McLENNAN,Charlene,5,N,N,GRN,The Greens,88,3.39
TAS,192,Bass,8296,Dilston,36070,RAZAY,George,6,N,N,IND,Independent,31,-0.15
TAS,192,Bass,8296,Dilston,42108,BROOMHALL,Ray,7,N,N,CYA,Trumpet of Patriots,30,5.03
TAS,192,Bass,8296,Dilston,999,Informal,Informal,999,N,N,,Informal,30,-0.27
TAS,192,Bass,8313,East Launceston,41546,TEESDALE,Jess,1,Y,N,ALP,Australian Labor Party,542,11.24
TAS,192,Bass,8313,East Launceston,40738,LARNER,Caroline,2,N,N,CEC,Citizens Party,10,0.68
TAS,192,Bass,8313,East Launceston,40756,ARCHER,Bridget Kathleen,3,N,Y,LP,Liberal,463,-9.21
TAS,192,Bass,8313,East Launceston,42067,POTTER,Jordan,4,N,N,ON,Pauline Hanson's One Nation,43,1.08
TAS,192,Bass,8313,East Launceston,41322,McLENNAN,Charlene,5,N,N,GRN,The Greens,328,2.99
TAS,192,Bass,8313,East Launceston,36070,RAZAY,George,6,N,N,IND,Independent,67,-2.51
TAS,192,Bass,8313,East Launceston,42108,BROOMHALL,Ray,7,N,N,CYA,Trumpet of Patriots,23,1.56
TAS,192,Bass,8313,East Launceston,999,Informal,Informal,999,N,N,,Informal,43,0.33
TAS,192,Bass,65496,EAV Bass PPVC,41546,TEESDALE,Jess,1,Y,N,ALP,Australian Labor Party,3,-18.86
TAS,192,Bass,65496,EAV Bass PPVC,40738,LARNER,Caroline,2,N,N,CEC,Citizens Party,0,0
TAS,192,Bass,65496,EAV Bass PPVC,40756,ARCHER,Bridget Kathleen,3,N,Y,LP,Liberal,0,-10.78
TAS,192,Bass,65496,EAV Bass PPVC,42067,POTTER,Jordan,4,N,N,ON,Pauline Hanson's One Nation,1,14.09
TAS,192,Bass,65496,EAV Bass PPVC,41322,McLENNAN,Charlene,5,N,N,GRN,The Greens,2,19.27
TAS,192,Bass,65496,EAV Bass PPVC,36070,RAZAY,George,6,N,N,IND,Independent,1,14.02
TAS,192,Bass,65496,EAV Bass PPVC,42108,BROOMHALL,Ray,7,N,N,CYA,Trumpet of Patriots,0,0
TAS,192,Bass,65496,EAV Bass PPVC,999,Informal,Informal,999,N,N,,Informal,0,-0.25
TAS,192,Bass,8592,Exeter,41546,TEESDALE,Jess,1,Y,N,ALP,Australian Labor Party,409,12.86
TAS,192,Bass,8592,Exeter,40738,LARNER,Caroline,2,N,N,CEC,Citizens Party,13,1.16
TAS,192,Bass,8592,Exeter,40756,ARCHER,Bridget Kathleen,3,N,Y,LP,Liberal,360,-9.63
TAS,192,Bass,8592,Exeter,42067,POTTER,Jordan,4,N,N,ON,Pauline Hanson's One Nation,102,1.43
TAS,192,Bass,8592,Exeter,41322,McLENNAN,Charlene,5,N,N,GRN,The Greens,137,2.15
TAS,192,Bass,8592,Exeter,36070,RAZAY,George,6,N,N,IND,Independent,61,-0.22
TAS,192,Bass,8592,Exeter,42108,BROOMHALL,Ray,7,N,N,CYA,Trumpet of Patriots,37,3.31
TAS,192,Bass,8592,Exeter,999,Informal,Informal,999,N,N,,Informal,43,-2.16
TAS,192,Bass,8301,George Town,41546,TEESDALE,Jess,1,Y,N,ALP,Australian Labor Party,600,8.54
TAS,192,Bass,8301,George Town,40738,LARNER,Caroline,2,N,N,CEC,Citizens Party,34,2.4
TAS,192,Bass,8301,George Town,40756,ARCHER,Bridget Kathleen,3,N,Y,LP,Liberal,422,-11.81
TAS,192,Bass,8301,George Town,42067,POTTER,Jordan,4,N,N,ON,Pauline Hanson's One Nation,120,3.95
TAS,192,Bass,8301,George Town,41322,McLENNAN,Charlene,5,N,N,GRN,The Greens,107,1.68
TAS,192,Bass,8301,George Town,36070,RAZAY,George,6,N,N,IND,Independent,61,0.75
TAS,192,Bass,8301,George Town,42108,BROOMHALL,Ray,7,N,N,CYA,Trumpet of Patriots,75,5.29
TAS,192,Bass,8301,George Town,999,Informal,Informal,999,N,N,,Informal,98,-2.63
TAS,192,Bass,8302,George Town South,41546,TEESDALE,Jess,1,Y,N,ALP,Australian Labor Party,444,9.78
TAS,192,Bass,8302,George Town South,40738,LARNER,Caroline,2,N,N,CEC,Citizens Party,17,1.64
TAS,192,Bass,8302,George Town South,40756,ARCHER,Bridget Kathleen,3,N,Y,LP,Liberal,334,-15.09
TAS,192,Bass,8302,George Town South,42067,POTTER,Jordan,4,N,N,ON,Pauline Hanson's One Nation,80,2.91
TAS,192,Bass,8302,George Town South,41322,McLENNAN,Charlene,5,N,N,GRN,The Greens,73,2.33
TAS,192,Bass,8302,George Town South,36070,RAZAY,George,6,N,N,IND,Independent,37,1.42
TAS,192,Bass,8302,George Town South,42108,BROOMHALL,Ray,7,N,N,CYA,Trumpet of Patriots,52,5.01
TAS,192,Bass,8302,George Town South,999,Informal,Informal,999,N,N,,Informal,61,-2.37
TAS,192,Bass,8303,Gladstone,41546,TEESDALE,Jess,1,Y,N,ALP,Australian Labor Party,53,11.32
TAS,192,Bass,8303,Gladstone,40738,LARNER,Caroline,2,N,N,CEC,Citizens Party,2,1.31
TAS,192,Bass,8303,Gladstone,40756,ARCHER,Bridget Kathleen,3,N,Y,LP,Liberal,53,-8.77
TAS,192,Bass,8303,Gladstone,42067,POTTER,Jordan,4,N,N,ON,Pauline Hanson's One Nation,19,7.69
TAS,192,Bass,8303,Gladstone,41322,McLENNAN,Charlene,5,N,N,GRN,The Greens,9,-3.09
TAS,192,Bass,8303,Gladstone,36070,RAZAY,George,6,N,N,IND,Independent,5,-0.83
TAS,192,Bass,8303,Gladstone,42108,BROOMHALL,Ray,7,N,N,CYA,Trumpet of Patriots,12,7.84
TAS,192,Bass,8303,Gladstone,999,Informal,Informal,999,N,N,,Informal,5,-10.59
TAS,192,Bass,8599,Glengarry,41546,TEESDALE,Jess,1,Y,N,ALP,Australian Labor Party,86,5.06
TAS,192,Bass,8599,Glengarry,40738,LARNER,Caroline,2,N,N,CEC,Citizens Party,3,1.02
TAS,192,Bass,8599,Glengarry,40756,ARCHER,Bridget Kathleen,3,N,Y,LP,Liberal,117,-0.99
TAS,192,Bass,8599,Glengarry,42067,POTTER,Jordan,4,N,N,ON,Pauline Hanson's One Nation,21,0.87
TAS,192,Bass,8599,Glengarry,41322,McLENNAN,Charlene,5,N,N,GRN,The Greens,40,3.21
TAS,192,Bass,8599,Glengarry,36070,RAZAY,George,6,N,N,IND,Independent,12,-0.84
TAS,192,Bass,8599,Glengarry,42108,BROOMHALL,Ray,7,N,N,CYA,Trumpet of Patriots,16,5.42
TAS,192,Bass,8599,Glengarry,999,Informal,Informal,999,N,N,,Informal,12,-0.41
TAS,192,Bass,8603,Gravelly Beach,41546,TEESDALE,Jess,1,Y,N,ALP,Australian Labor Party,234,10.96
TAS,192,Bass,8603,Gravelly Beach,40738,LARNER,Caroline,2,N,N,CEC,Citizens Party,11,1.85
TAS,192,Bass,8603,Gravelly Beach,40756,ARCHER,Bridget Kathleen,3,N,Y,LP,Liberal,170,-8.1
TAS,192,Bass,8603,Gravelly Beach,42067,POTTER,Jordan,4,N,N,ON,Pauline Hanson's One Nation,29,0.34
TAS,192,Bass,8603,Gravelly Beach,41322,McLENNAN,Charlene,5,N,N,GRN,The Greens,114,6.52
TAS,192,Bass,8603,Gravelly Beach,36070,RAZAY,George,6,N,N,IND,Independent,27,-2.95
TAS,192,Bass,8603,Gravelly Beach,42108,BROOMHALL,Ray,7,N,N,CYA,Trumpet of Patriots,11,1.85
TAS,192,Bass,8603,Gravelly Beach,999,Informal,Informal,999,N,N,,Informal,36,-2.18
TAS,192,Bass,8304,Hillwood,41546,TEESDALE,Jess,1,Y,N,ALP,Australian Labor Party,138,8.36
TAS,192,Bass,8304,Hillwood,40738,LARNER,Caroline,2,N,N,CEC,Citizens Party,3,0.76
TAS,192,Bass,8304,Hillwood,40756,ARCHER,Bridget Kathleen,3,N,Y,LP,Liberal,132,-9.84
TAS,192,Bass,8304,Hillwood,42067,POTTER,Jordan,4,N,N,ON,Pauline Hanson's One Nation,29,3.18
TAS,192,Bass,8304,Hillwood,41322,McLENNAN,Charlene,5,N,N,GRN,The Greens,46,0.8
TAS,192,Bass,8304,Hillwood,36070,RAZAY,George,6,N,N,IND,Independent,23,2.34
TAS,192,Bass,8304,Hillwood,42108,BROOMHALL,Ray,7,N,N,CYA,Trumpet of Patriots,24,6.08
TAS,192,Bass,8304,Hillwood,999,Informal,Informal,999,N,N,,Informal,18,-2.98
TAS,192,Bass,8305,Invermay Central,41546,TEESDALE,Jess,1,Y,N,ALP,Australian Labor Party,448,12.35
TAS,192,Bass,8305,Invermay Central,40738,LARNER,Caroline,2,N,N,CEC,Citizens Party,5,0.53
TAS,192,Bass,8305,Invermay Central,40756,ARCHER,Bridget Kathleen,3,N,Y,LP,Liberal,175,-5.21
TAS,192,Bass,8305,Invermay Central,42067,POTTER,Jordan,4,N,N,ON,Pauline Hanson's One Nation,68,1.47
TAS,192,Bass,8305,Invermay Central,41322,McLENNAN,Charlene,5,N,N,GRN,The Greens,165,0.71
TAS,192,Bass,8305,Invermay Central,36070,RAZAY,George,6,N,N,IND,Independent,41,-0.79
TAS,192,Bass,8305,Invermay Central,42108,BROOMHALL,Ray,7,N,N,CYA,Trumpet of Patriots,34,3.63
TAS,192,Bass,8305,Invermay Central,999,Informal,Informal,999,N,N,,Informal,70,-1.32
TAS,192,Bass,8306,Invermay South,41546,TEESDALE,Jess,1,Y,N,ALP,Australian Labor Party,391,10.29
TAS,192,Bass,8306,Invermay South,40738,LARNER,Caroline,2,N,N,CEC,Citizens Party,12,1.26
TAS,192,Bass,8306,Invermay South,40756,ARCHER,Bridget Kathleen,3,N,Y,LP,Liberal,186,-11.8
TAS,192,Bass,8306,Invermay South,42067,POTTER,Jordan,4,N,N,ON,Pauline Hanson's One Nation,73,2.8
TAS,192,Bass,8306,Invermay South,41322,McLENNAN,Charlene,5,N,N,GRN,The Greens,213,7.9
TAS,192,Bass,8306,Invermay South,36070,RAZAY,George,6,N,N,IND,Independent,51,0.15
TAS,192,Bass,8306,Invermay South,42108,BROOMHALL,Ray,7,N,N,CYA,Trumpet of Patriots,26,2.73
TAS,192,Bass,8306,Invermay South,999,Informal,Informal,999,N,N,,Informal,41,-3.12
TAS,192,Bass,8308,Karoola,41546,TEESDALE,Jess,1,Y,N,ALP,Australian Labor Party,119,18.53
TAS,192,Bass,8308,Karoola,40738,LARNER,Caroline,2,N,N,CEC,Citizens Party,1,0.36
TAS,192,Bass,8308,Karoola,40756,ARCHER,Bridget Kathleen,3,N,Y,LP,Liberal,101,-7.62
TAS,192,Bass,8308,Karoola,42067,POTTER,Jordan,4,N,N,ON,Pauline Hanson's One Nation,16,2.98
TAS,192,Bass,8308,Karoola,41322,McLENNAN,Charlene,5,N,N,GRN,The Greens,19,0
TAS,192,Bass,8308,Karoola,36070,RAZAY,George,6,N,N,IND,Independent,14,-0.83
TAS,192,Bass,8308,Karoola,42108,BROOMHALL,Ray,7,N,N,CYA,Trumpet of Patriots,5,1.82
TAS,192,Bass,8308,Karoola,999,Informal,Informal,999,N,N,,Informal,12,-5.43
TAS,192,Bass,31784,Kelso,41546,TEESDALE,Jess,1,Y,N,ALP,Australian Labor Party,133,13.34
TAS,192,Bass,31784,Kelso,40738,LARNER,Caroline,2,N,N,CEC,Citizens Party,4,1.19
TAS,192,Bass,31784,Kelso,40756,ARCHER,Bridget Kathleen,3,N,Y,LP,Liberal,110,-10.3
TAS,192,Bass,31784,Kelso,42067,POTTER,Jordan,4,N,N,ON,Pauline Hanson's One Nation,24,2.26
TAS,192,Bass,31784,Kelso,41322,McLENNAN,Charlene,5,N,N,GRN,The Greens,45,3.64
TAS,192,Bass,31784,Kelso,36070,RAZAY,George,6,N,N,IND,Independent,11,-0.74
TAS,192,Bass,31784,Kelso,42108,BROOMHALL,Ray,7,N,N,CYA,Trumpet of Patriots,9,2.68
TAS,192,Bass,31784,Kelso,999,Informal,Informal,999,N,N,,Informal,15,-2.1
TAS,192,Bass,8309,Kings Meadows,41546,TEESDALE,Jess,1,Y,N,ALP,Australian Labor Party,402,9.87
TAS,192,Bass,8309,Kings Meadows,40738,LARNER,Caroline,2,N,N,CEC,Citizens Party,9,0.97
TAS,192,Bass,8309,Kings Meadows,40756,ARCHER,Bridget Kathleen,3,N,Y,LP,Liberal,229,-8
TAS,192,Bass,8309,Kings Meadows,42067,POTTER,Jordan,4,N,N,ON,Pauline Hanson's One Nation,44,-0.23
TAS,192,Bass,8309,Kings Meadows,41322,McLENNAN,Charlene,5,N,N,GRN,The Greens,129,2.76
TAS,192,Bass,8309,Kings Meadows,36070,RAZAY,George,6,N,N,IND,Independent,77,2.81
TAS,192,Bass,8309,Kings Meadows,42108,BROOMHALL,Ray,7,N,N,CYA,Trumpet of Patriots,34,3.68
TAS,192,Bass,8309,Kings Meadows,999,Informal,Informal,999,N,N,,Informal,44,-3.61
TAS,192,Bass,97858,Kings Meadows South,41546,TEESDALE,Jess,1,Y,N,ALP,Australian Labor Party,197,13.66
TAS,192,Bass,97858,Kings Meadows South,40738,LARNER,Caroline,2,N,N,CEC,Citizens Party,2,0.47
TAS,192,Bass,97858,Kings Meadows South,40756,ARCHER,Bridget Kathleen,3,N,Y,LP,Liberal,117,-7.65
TAS,192,Bass,97858,Kings Meadows South,42067,POTTER,Jordan,4,N,N,ON,Pauline Hanson's One Nation,22,0.18
TAS,192,Bass,97858,Kings Meadows South,41322,McLENNAN,Charlene,5,N,N,GRN,The Greens,55,2.09
TAS,192,Bass,97858,Kings Meadows South,36070,RAZAY,George,6,N,N,IND,Independent,19,-1.89
TAS,192,Bass,97858,Kings Meadows South,42108,BROOMHALL,Ray,7,N,N,CYA,Trumpet of Patriots,14,3.29
TAS,192,Bass,97858,Kings Meadows South,999,Informal,Informal,999,N,N,,Informal,19,-2.81
TAS,192,Bass,8310,Lady Barron,41546,TEESDALE,Jess,1,Y,N,ALP,Australian Labor Party,37,4.6
TAS,192,Bass,8310,Lady Barron,40738,LARNER,Caroline,2,N,N,CEC,Citizens Party,0,0
TAS,192,Bass,8310,Lady Barron,40756,ARCHER,Bridget Kathleen,3,N,Y,LP,Liberal,44,-8.63
TAS,192,Bass,8310,Lady Barron,42067,POTTER,Jordan,4,N,N,ON,Pauline Hanson's One Nation,15,5.5
TAS,192,Bass,8310,Lady Barron,41322,McLENNAN,Charlene,5,N,N,GRN,The Greens,12,5.84
TAS,192,Bass,8310,Lady Barron,36070,RAZAY,George,6,N,N,IND,Independent,3,1.05
TAS,192,Bass,8310,Lady Barron,42108,BROOMHALL,Ray,7,N,N,CYA,Trumpet of Patriots,2,1.77
TAS,192,Bass,8310,Lady Barron,999,Informal,Informal,999,N,N,,Informal,12,-3.24
TAS,192,Bass,8311,Launceston,41546,TEESDALE,Jess,1,Y,N,ALP,Australian Labor Party,113,6.49
TAS,192,Bass,8311,Launceston,40738,LARNER,Caroline,2,N,N,CEC,Citizens Party,3,0.95
