2025 Federal Election House of Representatives First Preferences By Candidate By Polling Place for VIC [Event:31496 Phase:FinalResults Generated:2025-06-16T10:38:45 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
VIC,197,Aston,2942,Bayswater,40786,CICCHIELLO,Manny,1,N,N,LP,Liberal,540,-4.22
VIC,197,Aston,2942,Bayswater,40809,DOYLE,Mary,2,Y,Y,ALP,Australian Labor Party,671,1.15
VIC,197,Aston,2942,Bayswater,41529,MANNERS,Craig,3,N,N,FFP,Family First,38,2.15
VIC,197,Aston,2942,Bayswater,41147,WILLIAMS,Andrew,4,N,N,IND,Independent,29,1.64
VIC,197,Aston,2942,Bayswater,41307,FAWCETT,David,5,N,N,LTP,Libertarian,13,0.74
VIC,197,Aston,2942,Bayswater,42063,GRONDMAN,Mark,6,N,N,IND,Independent,57,3.22
VIC,197,Aston,2942,Bayswater,41080,STEEN,Reuben,7,N,N,GRN,The Greens,315,1.07
VIC,197,Aston,2942,Bayswater,41505,De WACHT,John,8,N,N,ON,Pauline Hanson's One Nation,64,0.78
VIC,197,Aston,2942,Bayswater,41355,DESVEAUX,Steve,9,N,N,CYA,Trumpet of Patriots,41,2.32
VIC,197,Aston,2942,Bayswater,999,Informal,Informal,999,N,N,,Informal,87,1.13
VIC,197,Aston,4869,Bayswater North,40786,CICCHIELLO,Manny,1,N,N,LP,Liberal,582,-5.81
VIC,197,Aston,4869,Bayswater North,40809,DOYLE,Mary,2,Y,Y,ALP,Australian Labor Party,600,4.74
VIC,197,Aston,4869,Bayswater North,41529,MANNERS,Craig,3,N,N,FFP,Family First,60,3.57
VIC,197,Aston,4869,Bayswater North,41147,WILLIAMS,Andrew,4,N,N,IND,Independent,31,1.84
VIC,197,Aston,4869,Bayswater North,41307,FAWCETT,David,5,N,N,LTP,Libertarian,25,1.49
VIC,197,Aston,4869,Bayswater North,42063,GRONDMAN,Mark,6,N,N,IND,Independent,41,2.44
VIC,197,Aston,4869,Bayswater North,41080,STEEN,Reuben,7,N,N,GRN,The Greens,220,1.29
VIC,197,Aston,4869,Bayswater North,41505,De WACHT,John,8,N,N,ON,Pauline Hanson's One Nation,72,0.74
VIC,197,Aston,4869,Bayswater North,41355,DESVEAUX,Steve,9,N,N,CYA,Trumpet of Patriots,52,2.04
VIC,197,Aston,4869,Bayswater North,999,Informal,Informal,999,N,N,,Informal,81,-1.11
VIC,197,Aston,83798,Bayswater South,40786,CICCHIELLO,Manny,1,N,N,LP,Liberal,155,-5.74
VIC,197,Aston,83798,Bayswater South,40809,DOYLE,Mary,2,Y,Y,ALP,Australian Labor Party,195,4.75
VIC,197,Aston,83798,Bayswater South,41529,MANNERS,Craig,3,N,N,FFP,Family First,18,3.59
VIC,197,Aston,83798,Bayswater South,41147,WILLIAMS,Andrew,4,N,N,IND,Independent,18,3.59
VIC,197,Aston,83798,Bayswater South,41307,FAWCETT,David,5,N,N,LTP,Libertarian,8,1.6
VIC,197,Aston,83798,Bayswater South,42063,GRONDMAN,Mark,6,N,N,IND,Independent,11,2.2
VIC,197,Aston,83798,Bayswater South,41080,STEEN,Reuben,7,N,N,GRN,The Greens,70,-1.01
VIC,197,Aston,83798,Bayswater South,41505,De WACHT,John,8,N,N,ON,Pauline Hanson's One Nation,13,-0.68
