2025 Federal Election House of Representatives First Preferences By Candidate By Polling Place for WA [Event:31496 Phase:FinalResults Generated:2025-06-16T10:38:43 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
WA,235,Brand,65679,Baldivis,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,366,2.95
WA,235,Brand,65679,Baldivis,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,298,8.95
WA,235,Brand,65679,Baldivis,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,879,-7.28
WA,235,Brand,65679,Baldivis,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,215,10.05
WA,235,Brand,65679,Baldivis,41216,MOODY,Claire,5,N,N,LP,Liberal,381,-2.39
WA,235,Brand,65679,Baldivis,999,Informal,Informal,999,N,N,,Informal,88,-3.75
WA,235,Brand,64591,Baldivis Central,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,313,1.19
WA,235,Brand,64591,Baldivis Central,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,261,7.27
WA,235,Brand,64591,Baldivis Central,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,904,-3.97
WA,235,Brand,64591,Baldivis Central,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,191,9.11
WA,235,Brand,64591,Baldivis Central,41216,MOODY,Claire,5,N,N,LP,Liberal,428,-2.2
WA,235,Brand,64591,Baldivis Central,999,Informal,Informal,999,N,N,,Informal,74,-2.31
WA,235,Brand,83045,Baldivis East,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,301,2.82
WA,235,Brand,83045,Baldivis East,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,191,6.42
WA,235,Brand,83045,Baldivis East,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,652,-4.66
WA,235,Brand,83045,Baldivis East,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,157,9.92
WA,235,Brand,83045,Baldivis East,41216,MOODY,Claire,5,N,N,LP,Liberal,281,-2.12
WA,235,Brand,83045,Baldivis East,999,Informal,Informal,999,N,N,,Informal,59,-2.66
WA,235,Brand,109776,Baldivis North,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,95,5.43
WA,235,Brand,109776,Baldivis North,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,58,6.98
WA,235,Brand,109776,Baldivis North,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,215,-4.04
WA,235,Brand,109776,Baldivis North,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,44,9.07
WA,235,Brand,109776,Baldivis North,41216,MOODY,Claire,5,N,N,LP,Liberal,73,-5.15
WA,235,Brand,109776,Baldivis North,999,Informal,Informal,999,N,N,,Informal,16,-4.51
WA,235,Brand,83297,Baldivis South,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,212,1.38
WA,235,Brand,83297,Baldivis South,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,171,7.76
WA,235,Brand,83297,Baldivis South,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,626,-6.67
WA,235,Brand,83297,Baldivis South,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,150,10.92
WA,235,Brand,83297,Baldivis South,41216,MOODY,Claire,5,N,N,LP,Liberal,215,-2.1
WA,235,Brand,83297,Baldivis South,999,Informal,Informal,999,N,N,,Informal,48,-4.45
WA,235,Brand,7472,Baldivis West,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,309,2.38
WA,235,Brand,7472,Baldivis West,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,281,8.44
WA,235,Brand,7472,Baldivis West,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,854,-5.54
WA,235,Brand,7472,Baldivis West,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,161,7.74
WA,235,Brand,7472,Baldivis West,41216,MOODY,Claire,5,N,N,LP,Liberal,476,-2.14
WA,235,Brand,7472,Baldivis West,999,Informal,Informal,999,N,N,,Informal,66,-2.84
WA,235,Brand,38449,Bertram,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,198,-2.77
WA,235,Brand,38449,Bertram,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,166,5.84
WA,235,Brand,38449,Bertram,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,718,-0.2
WA,235,Brand,38449,Bertram,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,149,10.23
WA,235,Brand,38449,Bertram,41216,MOODY,Claire,5,N,N,LP,Liberal,226,-2.61
WA,235,Brand,38449,Bertram,999,Informal,Informal,999,N,N,,Informal,70,-2.81
WA,235,Brand,7478,Calista,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,177,6.75
WA,235,Brand,7478,Calista,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,113,6.81
WA,235,Brand,7478,Calista,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,430,-11.38
WA,235,Brand,7478,Calista,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,120,12.66
WA,235,Brand,7478,Calista,41216,MOODY,Claire,5,N,N,LP,Liberal,108,-1.82
WA,235,Brand,7478,Calista,999,Informal,Informal,999,N,N,,Informal,59,-4.04
WA,235,Brand,83351,Cockburn Central BRAND PPVC,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,141,2.97
WA,235,Brand,83351,Cockburn Central BRAND PPVC,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,111,7.92
WA,235,Brand,83351,Cockburn Central BRAND PPVC,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,498,-2.67
WA,235,Brand,83351,Cockburn Central BRAND PPVC,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,73,6.9
WA,235,Brand,83351,Cockburn Central BRAND PPVC,41216,MOODY,Claire,5,N,N,LP,Liberal,235,-1.38
WA,235,Brand,83351,Cockburn Central BRAND PPVC,999,Informal,Informal,999,N,N,,Informal,40,-2.24
WA,235,Brand,7480,Cooloongup,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,136,2.74
WA,235,Brand,7480,Cooloongup,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,151,8.06
WA,235,Brand,7480,Cooloongup,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,398,-16.2
WA,235,Brand,7480,Cooloongup,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,171,17.72
WA,235,Brand,7480,Cooloongup,41216,MOODY,Claire,5,N,N,LP,Liberal,109,-1.85
WA,235,Brand,7480,Cooloongup,999,Informal,Informal,999,N,N,,Informal,52,-4.41
WA,235,Brand,82974,Cooloongup South,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,88,2.63
WA,235,Brand,82974,Cooloongup South,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,100,11.33
WA,235,Brand,82974,Cooloongup South,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,270,-11.32
WA,235,Brand,82974,Cooloongup South,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,79,12.97
WA,235,Brand,82974,Cooloongup South,41216,MOODY,Claire,5,N,N,LP,Liberal,72,-4.55
WA,235,Brand,82974,Cooloongup South,999,Informal,Informal,999,N,N,,Informal,33,-2.11
WA,235,Brand,65586,EAV Brand PPVC,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,0,-0.29
WA,235,Brand,65586,EAV Brand PPVC,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,1,-1.56
WA,235,Brand,65586,EAV Brand PPVC,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,6,-19.63
WA,235,Brand,65586,EAV Brand PPVC,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,1,8.33
WA,235,Brand,65586,EAV Brand PPVC,41216,MOODY,Claire,5,N,N,LP,Liberal,4,13.37
WA,235,Brand,65586,EAV Brand PPVC,999,Informal,Informal,999,N,N,,Informal,0,-0.02
WA,235,Brand,109504,Greenfields BRAND PPVC,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,31,4.04
WA,235,Brand,109504,Greenfields BRAND PPVC,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,29,7.74
WA,235,Brand,109504,Greenfields BRAND PPVC,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,73,-4.55
WA,235,Brand,109504,Greenfields BRAND PPVC,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,23,12.04
WA,235,Brand,109504,Greenfields BRAND PPVC,41216,MOODY,Claire,5,N,N,LP,Liberal,35,-7
WA,235,Brand,109504,Greenfields BRAND PPVC,999,Informal,Informal,999,N,N,,Informal,14,1.48
WA,235,Brand,7488,Hillman,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,106,3.85
WA,235,Brand,7488,Hillman,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,101,6.67
WA,235,Brand,7488,Hillman,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,346,-6.91
WA,235,Brand,7488,Hillman,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,99,13.58
WA,235,Brand,7488,Hillman,41216,MOODY,Claire,5,N,N,LP,Liberal,77,-4.67
WA,235,Brand,7488,Hillman,999,Informal,Informal,999,N,N,,Informal,37,-5.59
WA,235,Brand,97724,Kwinana Town Centre PPVC,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,1298,1.78
WA,235,Brand,97724,Kwinana Town Centre PPVC,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,1165,6.4
WA,235,Brand,97724,Kwinana Town Centre PPVC,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,5893,-3.67
WA,235,Brand,97724,Kwinana Town Centre PPVC,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,679,6.28
WA,235,Brand,97724,Kwinana Town Centre PPVC,41216,MOODY,Claire,5,N,N,LP,Liberal,1781,-0.79
WA,235,Brand,97724,Kwinana Town Centre PPVC,999,Informal,Informal,999,N,N,,Informal,405,-2.36
WA,235,Brand,11896,Leda,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,218,5.9
WA,235,Brand,11896,Leda,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,118,5.57
WA,235,Brand,11896,Leda,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,500,-9.31
WA,235,Brand,11896,Leda,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,139,12.56
WA,235,Brand,11896,Leda,41216,MOODY,Claire,5,N,N,LP,Liberal,132,-1.67
WA,235,Brand,11896,Leda,999,Informal,Informal,999,N,N,,Informal,59,-1.76
WA,235,Brand,7496,Medina,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,172,4.24
WA,235,Brand,7496,Medina,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,129,7.67
WA,235,Brand,7496,Medina,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,373,-9.49
WA,235,Brand,7496,Medina,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,132,14.88
WA,235,Brand,7496,Medina,41216,MOODY,Claire,5,N,N,LP,Liberal,81,-4.13
WA,235,Brand,7496,Medina,999,Informal,Informal,999,N,N,,Informal,55,-3.66
WA,235,Brand,119902,Other Mobile Team 1,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,3,6.32
WA,235,Brand,119902,Other Mobile Team 1,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,4,16.3
WA,235,Brand,119902,Other Mobile Team 1,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,7,-13.37
WA,235,Brand,119902,Other Mobile Team 1,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,3,15.79
WA,235,Brand,119902,Other Mobile Team 1,41216,MOODY,Claire,5,N,N,LP,Liberal,2,-15.03
WA,235,Brand,119902,Other Mobile Team 1,999,Informal,Informal,999,N,N,,Informal,0,-3.27
WA,235,Brand,7501,Parmelia,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,133,2.91
WA,235,Brand,7501,Parmelia,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,119,7.59
WA,235,Brand,7501,Parmelia,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,392,-7.25
WA,235,Brand,7501,Parmelia,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,111,13.14
WA,235,Brand,7501,Parmelia,41216,MOODY,Claire,5,N,N,LP,Liberal,90,-4.65
WA,235,Brand,7501,Parmelia,999,Informal,Informal,999,N,N,,Informal,17,-7
WA,235,Brand,31674,Port Kennedy,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,235,1.85
WA,235,Brand,31674,Port Kennedy,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,245,9.85
WA,235,Brand,31674,Port Kennedy,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,608,-7.78
WA,235,Brand,31674,Port Kennedy,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,193,12.71
WA,235,Brand,31674,Port Kennedy,41216,MOODY,Claire,5,N,N,LP,Liberal,238,-2.85
WA,235,Brand,31674,Port Kennedy,999,Informal,Informal,999,N,N,,Informal,57,-3.94
WA,235,Brand,83347,Port Kennedy BRAND PPVC,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,917,0.76
WA,235,Brand,83347,Port Kennedy BRAND PPVC,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,1303,8.19
WA,235,Brand,83347,Port Kennedy BRAND PPVC,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,4547,-4.02
WA,235,Brand,83347,Port Kennedy BRAND PPVC,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,662,6.84
WA,235,Brand,83347,Port Kennedy BRAND PPVC,41216,MOODY,Claire,5,N,N,LP,Liberal,2254,-1.08
WA,235,Brand,83347,Port Kennedy BRAND PPVC,999,Informal,Informal,999,N,N,,Informal,264,-4.71
WA,235,Brand,34336,Port Kennedy East,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,104,0.95
WA,235,Brand,34336,Port Kennedy East,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,122,5.2
WA,235,Brand,34336,Port Kennedy East,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,415,-5
WA,235,Brand,34336,Port Kennedy East,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,119,12.78
WA,235,Brand,34336,Port Kennedy East,41216,MOODY,Claire,5,N,N,LP,Liberal,171,-1.25
WA,235,Brand,34336,Port Kennedy East,999,Informal,Informal,999,N,N,,Informal,48,-1.91
WA,235,Brand,7503,Rockingham,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,194,1.65
WA,235,Brand,7503,Rockingham,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,213,10.18
WA,235,Brand,7503,Rockingham,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,509,-8.55
WA,235,Brand,7503,Rockingham,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,168,13.16
WA,235,Brand,7503,Rockingham,41216,MOODY,Claire,5,N,N,LP,Liberal,193,-3.41
WA,235,Brand,7503,Rockingham,999,Informal,Informal,999,N,N,,Informal,59,-3.14
WA,235,Brand,34335,Rockingham Central,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,108,1.99
WA,235,Brand,34335,Rockingham Central,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,84,7.02
WA,235,Brand,34335,Rockingham Central,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,259,-13.81
WA,235,Brand,34335,Rockingham Central,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,92,14.53
WA,235,Brand,34335,Rockingham Central,41216,MOODY,Claire,5,N,N,LP,Liberal,90,1.27
WA,235,Brand,34335,Rockingham Central,999,Informal,Informal,999,N,N,,Informal,27,-4.41
WA,235,Brand,97689,Rockingham Central PPVC,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,1696,0.85
WA,235,Brand,97689,Rockingham Central PPVC,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,2200,7.71
WA,235,Brand,97689,Rockingham Central PPVC,41243,KING,Madeleine,3,Y,Y,ALP,Australian Labor Party,8721,-5.83
WA,235,Brand,97689,Rockingham Central PPVC,41662,MATTERS,Jim,4,N,N,HMP,Legalise Cannabis Party,1137,6.32
WA,235,Brand,97689,Rockingham Central PPVC,41216,MOODY,Claire,5,N,N,LP,Liberal,4230,0.03
WA,235,Brand,97689,Rockingham Central PPVC,999,Informal,Informal,999,N,N,,Informal,620,-4.27
WA,235,Brand,7504,Rockingham North,41660,FREEMAN,Jody,1,N,N,GRN,The Greens (WA) Inc,164,2.28
WA,235,Brand,7504,Rockingham North,41610,BOX,Stephen,2,N,N,ON,Pauline Hanson's One Nation,142,7.14
