2025 Federal Election House of Representatives Two Party Preferred By Division By Vote Type [Event:31496 Phase:FinalResults Generated:2025-06-16T10:39:09 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
DivisionNm,DivisionID,StateAb,PartyAb,Australian Labor Party OrdinaryVotes,Australian Labor Party OrdinaryPercentage,Liberal/National Coalition OrdinaryVotes,Liberal/National Coalition OrdinaryPercentage,Australian Labor Party AbsentVotes,Australian Labor Party AbsentPercentage,Liberal/National Coalition AbsentVotes,Liberal/National Coalition AbsentPercentage,Australian Labor Party ProvisionalVotes,Australian Labor Party ProvisionalPercentage,Liberal/National Coalition ProvisionalVotes,Liberal/National Coalition ProvisionalPercentage,Australian Labor Party PostalVotes,Australian Labor Party PostalPercentage,Liberal/National Coalition PostalVotes,Liberal/National Coalition PostalPercentage,TotalVotes,Australian Labor Party DeclarationPrePollVotes,Australian Labor Party DeclarationPrePollPercentage,Liberal/National Coalition DeclarationPrePollVotes,Liberal/National Coalition DeclarationPrePollPercentage
Adelaide,179,SA,ALP,61476,69.84,26547,30.16,3951,69.3,1750,30.7,578,74.68,196,25.32,10176,64.76,5537,35.24,114089,2615,67.43,1263,32.57
Aston,197,VIC,ALP,45278,54.39,37971,45.61,1859,60.05,1237,39.95,33,38.82,52,61.18,9848,48.27,10555,51.73,109849,1672,55.44,1344,44.56
Ballarat,198,VIC,ALP,50674,60.68,32833,39.32,1526,63.29,885,36.71,62,71.26,25,28.74,8783,60.27,5790,39.73,104540,2374,59.92,1588,40.08
Banks,103,NSW,ALP,42932,52.56,38744,47.44,1899,60.34,1248,39.66,63,58.33,45,41.67,5567,48.02,6027,51.98,98935,1369,56.8,1041,43.2
Barker,180,SA,LP,33853,37.07,57461,62.93,1075,44.24,1355,55.76,125,43.71,161,56.29,3999,34.23,7683,65.77,108714,1197,39.87,1805,60.13
Barton,104,NSW,ALP,55115,66.48,27793,33.52,2637,66.26,1343,33.74,78,78.79,21,21.21,6260,61.63,3897,38.37,99951,1881,67.01,926,32.99
Bass,192,TAS,ALP,33977,58.94,23668,41.06,900,57.22,673,42.78,148,64.63,81,35.37,5480,53.09,4843,46.91,71594,1027,56.3,797,43.7
Bean,318,ACT,ALP,62661,69.8,27113,30.2,1224,70.75,506,29.25,199,69.34,88,30.66,4631,63.71,2638,36.29,102700,2446,67.2,1194,32.8
Bendigo,200,VIC,ALP,45032,51.41,42557,48.59,1251,57.2,936,42.8,75,61.98,46,38.02,6460,48.66,6816,51.34,106617,1982,57.55,1462,42.45
Bennelong,105,NSW,ALP,52658,59.89,35267,40.11,1971,61.14,1253,38.86,84,67.74,40,32.26,8344,54.79,6884,45.21,109812,2019,60.98,1292,39.02
Berowra,106,NSW,LP,46216,49.17,47778,50.83,1630,51.66,1525,48.34,52,56.52,40,43.48,6167,40.98,8882,59.02,115568,1830,55.83,1448,44.17
Blair,304,QLD,ALP,49428,56.4,38214,43.6,1663,56.01,1306,43.99,230,57.93,167,42.07,11482,53.17,10114,46.83,116953,2353,54.1,1996,45.9
Blaxland,107,NSW,ALP,50799,73.99,17857,26.01,2275,66.25,1159,33.75,85,68,40,32,7687,62.97,4520,37.03,86886,1628,66.07,836,33.93
Bonner,310,QLD,ALP,40624,56.42,31382,43.58,2129,58.6,1504,41.4,115,61.83,71,38.17,9730,49,10127,51,99106,1908,55.72,1516,44.28
Boothby,182,SA,ALP,56566,61.66,35180,38.34,2818,64.02,1584,35.98,346,68.65,158,31.35,9516,56.5,7326,43.5,117339,2452,63.77,1393,36.23
Bowman,155,QLD,LNP,40251,47.86,43855,52.14,1299,54.06,1104,45.94,72,48,78,52,7994,44.97,9784,55.03,107987,1756,49.46,1794,50.54
Braddon,193,TAS,ALP,37328,57.28,27834,42.72,658,58.23,472,41.77,106,64.24,59,35.76,3755,56.26,2919,43.74,74840,962,56.29,747,43.71
Bradfield,108,NSW,ALP,41264,44.92,50594,55.08,1617,55.68,1287,44.32,83,54.25,70,45.75,5740,40.79,8333,59.21,112202,1840,57.25,1374,42.75
Brand,235,WA,ALP,50919,67.29,24753,32.71,2526,63.95,1424,36.05,63,67.74,30,32.26,7040,66.69,3517,33.31,93793,2218,62.99,1303,37.01
Brisbane,156,QLD,ALP,47435,60.94,30410,39.06,3236,62.6,1933,37.4,246,69.3,109,30.7,10542,50.21,10453,49.79,110745,3836,60.12,2545,39.88
Bruce,201,VIC,ALP,52985,66.26,26976,33.74,2786,66.25,1419,33.75,68,68.69,31,31.31,13237,58.9,9237,41.1,109494,1675,60.8,1080,39.2
Bullwinkel,329,WA,ALP,39515,50.37,38938,49.63,2815,54.34,2365,45.66,69,54.76,57,45.24,7841,49.18,8104,50.82,104664,2625,52.92,2335,47.08
Burt,317,WA,ALP,52333,66.28,26625,33.72,3325,62.06,2033,37.94,78,67.83,37,32.17,7295,64.31,4048,35.69,98691,1814,62.19,1103,37.81
Calare,109,NSW,ALP,35250,37.29,59290,62.71,996,50.38,981,49.62,33,41.25,47,58.75,2635,38.85,4147,61.15,106267,1195,41.38,1693,58.62
Calwell,203,VIC,ALP,42659,65.05,22916,34.95,2639,69.12,1179,30.88,91,71.09,37,28.91,10969,62.51,6578,37.49,89831,1769,64.02,994,35.98
Canberra,101,ACT,ALP,60221,76.95,18034,23.05,1105,76.31,343,23.69,275,80.41,67,19.59,5272,69.57,2306,30.43,93405,4505,77.91,1277,22.09
Canning,236,WA,LP,35372,43.37,46185,56.63,1619,47.16,1814,52.84,29,45.31,35,54.69,4865,42.59,6557,57.41,100647,1845,44.23,2326,55.77
Capricornia,157,QLD,LNP,36462,45.09,44411,54.91,1207,46.07,1413,53.93,72,41.62,101,58.38,4430,37.83,7281,62.17,98658,1402,42.73,1879,57.27
Casey,204,VIC,LP,40448,48.41,43113,51.59,2129,55.1,1735,44.9,72,51.43,68,48.57,7904,39.67,12018,60.33,110563,1531,49.77,1545,50.23
Chifley,111,NSW,ALP,52606,70.66,21844,29.34,2327,65.92,1203,34.08,41,70.69,17,29.31,6003,65.53,3158,34.47,89414,1463,66.05,752,33.95
Chisholm,205,VIC,ALP,46422,56.87,35206,43.13,2623,59.59,1779,40.41,69,60,46,40,11440,50.17,11364,49.83,112696,2219,59.22,1528,40.78
