2025 Federal Election House of Representatives Two Party Preferred By Polling Place [Event:31496 Phase:FinalResults Generated:2025-06-16T10:39:00 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,Australian Labor Party Votes,Australian Labor Party Percentage,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,TotalVotes,Swing
ACT,318,Bean,93925,Belconnen BEAN PPVC,900,72,350,28,1250,9.84
ACT,318,Bean,11877,Bonython,790,69,355,31,1145,6.49
ACT,318,Bean,11452,Calwell,1181,67.91,558,32.09,1739,6.52
ACT,318,Bean,8761,Chapman,1533,73.03,566,26.97,2099,7.11
ACT,318,Bean,8763,Chisholm,1012,67.51,487,32.49,1499,8.52
ACT,318,Bean,93916,City (Bean),61,89.71,7,10.29,68,20.96
ACT,318,Bean,93922,City BEAN PPVC,1128,73.77,401,26.23,1529,5.42
ACT,318,Bean,124111,City North (Bean),44,72.13,17,27.87,61,2.13
ACT,318,Bean,124103,City North BEAN PPVC,397,71.53,158,28.47,555,3.18
ACT,318,Bean,31298,Conder,1287,70.33,543,29.67,1830,7.99
ACT,318,Bean,83835,Conder North,657,64.1,368,35.9,1025,7.67
ACT,318,Bean,82523,Coombs,1813,78.18,506,21.82,2319,11.06
ACT,318,Bean,93906,Curtin (Bean),179,77.49,52,22.51,231,11.06
ACT,318,Bean,108985,Denman Prospect,1009,75.3,331,24.7,1340,8.21
ACT,318,Bean,8767,Duffy,1353,77.85,385,22.15,1738,6.41
ACT,318,Bean,93927,EAV Bean PPVC,11,68.75,5,31.25,16,11.61
ACT,318,Bean,8768,Fadden,1054,69.02,473,30.98,1527,6.46
ACT,318,Bean,8769,Farrer,1297,73.28,473,26.72,1770,9.95
ACT,318,Bean,93913,Garran (Bean),402,75,134,25,536,5.63
ACT,318,Bean,8771,Gilmore,769,64.95,415,35.05,1184,7.18
ACT,318,Bean,12072,Gordon,1534,69.1,686,30.9,2220,9.16
ACT,318,Bean,83837,Gordon North,255,56.04,200,43.96,455,5.15
ACT,318,Bean,8772,Gowrie,1044,70.11,445,29.89,1489,8.12
ACT,318,Bean,97445,Greenway,1047,72.66,394,27.34,1441,10.11
ACT,318,Bean,93929,Gungahlin BEAN PPVC,243,65.85,126,34.15,369,6.79
ACT,318,Bean,8773,Holder,964,67.22,470,32.78,1434,3.75
ACT,318,Bean,93908,Hughes (Bean),93,80.17,23,19.83,116,14.48
ACT,318,Bean,8884,Isabella Plains,1145,69.73,497,30.27,1642,8.46
ACT,318,Bean,8776,Kambah North,1108,71.85,434,28.15,1542,8.46
ACT,318,Bean,8777,Kambah South,1353,76.27,421,23.73,1774,5.8
ACT,318,Bean,8778,Kambah West,1129,68.97,508,31.03,1637,5.82
ACT,318,Bean,93909,Lyons (Bean),381,75.9,121,24.1,502,4.01
ACT,318,Bean,8780,Mawson,1248,73.72,445,26.28,1693,3.31
ACT,318,Bean,8781,Monash,1169,67.97,551,32.03,1720,7.72
ACT,318,Bean,65739,Norfolk Island,214,62.94,126,37.06,340,4.36
ACT,318,Bean,66153,Norfolk Island PPVC,322,60.75,208,39.25,530,11.65
ACT,318,Bean,109423,Other Mobile Team 1,4,50,4,50,8,-11.64
ACT,318,Bean,109493,Other Mobile Team 2,0,0,0,0,0,-62.5
ACT,318,Bean,93928,Parkes (Bean),659,86.48,103,13.52,762,9.94
ACT,318,Bean,97479,Parkes BEAN PPVC,1769,75.28,581,24.72,2350,4.67
ACT,318,Bean,8784,Pearce,943,71.66,373,28.34,1316,5.35
ACT,318,Bean,98056,Queanbeyan BEAN PPVC,278,53.77,239,46.23,517,0.87
ACT,318,Bean,8786,Richardson,616,64.1,345,35.9,961,2.8
ACT,318,Bean,109007,Special Hospital Team 1,166,56.08,130,43.92,296,-6.13
ACT,318,Bean,8788,Tharwa,90,63.83,51,36.17,141,8.02
ACT,318,Bean,11878,Theodore,782,65.06,420,34.94,1202,3.67
ACT,318,Bean,98052,Torrens,649,76.9,195,23.1,844,7.21
ACT,318,Bean,32704,Tuggeranong BEAN PPVC,13399,65.72,6989,34.28,20388,6.58
ACT,318,Bean,8790,Wanniassa,1076,69.55,471,30.45,1547,6.27
ACT,318,Bean,8791,Wanniassa Hills,968,71.44,387,28.56,1355,6.82
ACT,318,Bean,8792,Waramanga,1386,78.39,382,21.61,1768,8.7
ACT,318,Bean,83841,Waramanga West,523,74.5,179,25.5,702,7.61
ACT,318,Bean,8793,Weston,948,72.81,354,27.19,1302,5.45
ACT,318,Bean,32705,Woden BEAN PPVC,8279,69.28,3671,30.72,11950,4.17
ACT,101,Canberra,8801,Ainslie North,1854,87.21,272,12.79,2126,3.12
ACT,101,Canberra,8803,Aranda,1337,85.27,231,14.73,1568,1.61
ACT,101,Canberra,8829,Barton,1550,77.31,455,22.69,2005,6.27
ACT,101,Canberra,93968,Belconnen (Canberra),436,82.11,95,17.89,531,8.84
ACT,101,Canberra,64583,Belconnen CANBERRA PPVC,5891,73.56,2117,26.44,8008,3.87
ACT,101,Canberra,8802,Braddon,1457,83.83,281,16.17,1738,2.51
ACT,101,Canberra,83849,Bruce,629,80.54,152,19.46,781,8.51
ACT,101,Canberra,8806,Campbell,1141,69.28,506,30.72,1647,5.48
ACT,101,Canberra,98053,Campbell North,339,73.7,121,26.3,460,-3.36
ACT,101,Canberra,8808,City (Canberra),607,81.37,139,18.63,746,1.33
ACT,101,Canberra,58708,City CANBERRA PPVC,4914,78.9,1314,21.1,6228,4.59
ACT,101,Canberra,124109,City North (Canberra),447,79.54,115,20.46,562,-10.31
ACT,101,Canberra,124102,City North CANBERRA PPVC,4355,81.43,993,18.57,5348,-4.95
ACT,101,Canberra,8764,Curtin (Canberra),1346,77.22,397,22.78,1743,3.42
