year,representative_rank,district,state,representative_score,gerrymander_index,shape_irregularity,packing_signal,quota_deviation_pct,tpp_alp_pct,tpp_margin_pct,tpp_swing,enrolment,turnout,turnout_pct,booth_tpp_stddev,booth_tpp_range,booth_count,mapped_booth_count,effective_parties,top_primary_party,top_primary_pct,primary_gap_pct,vote_type_skew,polsby_popper,reock,convex_hull_ratio,components,area_sqkm,perimeter_km,num_ccds
2019,1,Bowman,QLD,91.2,8.8,11.3,2.4,0.61,39.76,20.48,3.17,109425,101804,93.04,4.64,55.82,40,38,3.246,LNP,47.02,21.33,3.97,0.5083,0.6104,0.886,1,908.003,149.821,345
2019,2,Gorton,VIC,90.7,9.3,11.0,1.4,0.28,65.36,30.72,3.13,110416,100598,91.11,4.43,83.89,39,38,3.305,ALP,47.12,22.59,4.64,0.5752,0.5838,0.9336,1,540.56,108.671,274
2019,3,Chifley,NSW,88.5,11.5,13.5,5.8,0.59,62.37,24.74,6.82,111980,100734,89.96,5.25,42.26,43,42,3.115,ALP,49.06,23.83,7.81,0.5634,0.5291,0.9055,1,125.943,53.003,387
2019,4,Dickson,QLD,88.4,11.6,24.4,11.1,0.51,45.36,9.28,2.95,108211,101364,93.67,7.2,53.14,46,45,3.36,LNP,43.93,13.97,9.42,0.3368,0.5557,0.8408,1,725.482,164.529,360
2019,5,Swan,WA,86.4,13.6,22.4,5.4,1.98,47.31,5.38,-0.9,100857,89333,88.57,7.26,63.16,50,48,3.409,LP,42.08,10.79,10.1,0.4501,0.4807,0.8526,1,133.886,61.14,352
2019,6,Dunkley,VIC,86.3,13.7,30.3,7.2,0.48,52.74,5.48,-1.71,110636,102078,92.26,7.82,52.67,44,41,3.451,LP,37.83,1.29,8.75,0.5115,0.4046,0.8219,1,152.712,61.249,354
2019,7,Burt,WA,85.4,14.6,15.3,10.0,2.28,54.99,9.98,2.12,105236,94082,89.4,6.61,68.04,43,40,3.82,ALP,38.33,7.06,7.69,0.4873,0.5921,0.8539,1,172.375,66.669,316
2019,8,Kooyong,VIC,85.1,14.9,20.7,10.0,1.54,43.32,13.36,-6.14,108413,102062,94.14,5.98,38.03,48,43,3.227,LP,47.94,27.33,8.86,0.3506,0.5974,0.8581,1,55.734,44.697,361
2019,9,Chisholm,VIC,84.2,15.8,20.6,0.3,3.44,49.43,1.14,-2.34,106323,99383,93.47,5.52,80.43,52,50,3.383,LP,41.43,8.66,7.02,0.4513,0.5025,0.8492,1,65.823,42.811,391
2019,10,Adelaide,SA,83.3,16.7,20.9,40.7,0.43,58.18,16.36,0.12,121606,111299,91.52,10.32,91.67,66,55,3.357,ALP,38.78,3.96,6.55,0.5071,0.4718,0.864,1,86.468,46.29,401
2019,11,Kingsford Smith,NSW,80.5,19.5,27.4,5.8,1.38,58.81,17.62,-0.24,111098,100181,90.17,5.31,80.95,60,58,3.164,ALP,42.55,8.23,6.53,0.4441,0.5752,0.8551,2,91.027,50.752,384
2019,12,Aston,VIC,80.2,19.8,32.3,16.6,0.21,39.87,20.26,2.72,110342,103919,94.18,6.15,33.21,42,38,2.698,LP,52.68,23.97,8.03,0.2739,0.5847,0.7989,1,113.764,72.247,377
2019,13,Lalor,VIC,80.1,19.9,11.3,7.1,3.02,62.41,24.82,1.78,106783,97815,91.6,5.3,33.41,39,38,2.952,ALP,49.41,20.57,5.29,0.505,0.6591,0.9125,1,493.255,110.79,284
2019,14,Reid,NSW,77.4,22.6,26.3,9.4,3.35,46.82,6.36,-1.51,108876,99847,91.71,7.72,66.58,48,46,2.955,LP,45.36,10.43,6.26,0.4699,0.4456,0.8358,1,55.107,38.389,385
2019,15,Stirling,WA,77.2,22.8,28.7,24.9,1.6,44.35,11.3,-0.47,101243,91038,89.92,8.91,67.35,45,44,3.226,LP,44.77,14.43,6.88,0.4983,0.4294,0.8252,1,74.147,43.242,333
2019,16,Leichhardt,QLD,76.5,23.5,37.3,11.3,0.64,45.83,8.34,0.22,109458,95945,87.65,7.69,79.33,66,58,4.515,LNP,35.18,8.24,7.97,0.396,0.392,0.8093,1,302125.558,3096.342,425
2019,17,North Sydney,NSW,75.8,24.2,24.4,10.8,3.05,40.73,18.54,-4.34,109218,100913,92.4,5.71,27.45,55,50,3.05,LP,49.86,25.79,7.87,0.4276,0.5047,0.8243,1,49.985,38.328,366
2019,18,Lilley,QLD,75.6,24.4,47.1,0.5,0.14,50.64,1.28,5.04,108608,100085,92.15,5.8,33.93,50,47,3.377,LNP,39.36,4.95,8.41,0.3142,0.4765,0.6758,1,142.862,75.592,363
